tweet_id,AgreedSentiment
1.11E+18,NEUTRAL
1.16E+18,NEGATIVE
1000014717170208800,POSITIVE
1009910498979143700,NEUTRAL
1017341401686790100,NEGATIVE
1017684085563625500,POSITIVE
1024902527920287700,NEUTRAL
1042064764191625200,NEUTRAL
1058285083109535700,POSITIVE
1060952179618562e3,NEGATIVE
1068849109895909400,POSITIVE
1078320631492628500,NEUTRAL
1078761138664456200,NEGATIVE
1082697378912747500,NEGATIVE
1086360410796765200,POSITIVE
1088858516696256500,NEGATIVE
1090625265171083400,NEUTRAL
1105853729612406800,POSITIVE
1108990211676164100,NEUTRAL
1109164490543767700,NEUTRAL
1113196435292532600,NEGATIVE
1114956480380325900,POSITIVE
112656004418159e4,NEUTRAL
1127276731797209100,POSITIVE
1129421383795204100,NEGATIVE
1131872350142644200,NEUTRAL
1132538937178763400,POSITIVE
1132598529459929100,POSITIVE
1133086703177150600,NEGATIVE
1134130638360121300,NEGATIVE
1135171178186891400,NEUTRAL
1139470584881041400,NEUTRAL
1139852507809800200,POSITIVE
1144291957298081800,NEGATIVE
1144654471722602500,NEGATIVE
1145020283570532500,NEGATIVE
1148733172420661100,POSITIVE
1149563353997561900,NEGATIVE
1150548333917888500,NEGATIVE
1150851053488889900,POSITIVE
1151256320877781e3,NEUTRAL
1157004304621944800,NEGATIVE
1161631773018722300,POSITIVE
1162415951826116600,POSITIVE
1170078728870867e3,NEUTRAL
1171930313238483e3,NEGATIVE
1172054193244377e3,NEGATIVE
1172098131355476e3,NEGATIVE
717003261623025700,NEUTRAL
754437767208243200,POSITIVE
812086454050553900,POSITIVE
843370339635777500,POSITIVE
844107343935787e3,NEGATIVE
878182530087665700,NEUTRAL
882906212597104600,NEGATIVE
884888391162241e3,NEUTRAL
904084465001082900,NEUTRAL
947017989580382200,NEUTRAL
947029682502893600,NEUTRAL
974372742580654100,POSITIVE
979898119352651800,POSITIVE
