ID	tweet	label
darija_train_00001	hhhhhhhhhhhhhhhhhhhhhh ana ga3ma sma3tt ach kant kat9oll kanrakazz ghir m3a zineb oyassmin ochirine	Neutral
darija_train_00002	hhhh hardart jomhorha la fi3lan kadahko lach mrakzin m3aha ama kayn bin li kaydir dakchi 3alanan ou li khbit bhal bohila	Neutral
darija_train_00003	: أتفهم العثماني وأتفهم الجدل الشعبي. الحل: حان وقت تنزيل شامل للجهوية المتقدمة وتحمل المتخبين الجهوين لكامل صلاحياتهم لشرح تفا…	Neutral
darija_train_00004	كان افظل حاكم عربي'	Positive
darija_train_00005	ماريانو راخوي : خاص المغرب واسبانيا يشرحو للرأي العام وجميع المتدخلين بوضوح تفاصيل الاتفاق اللي توصلو ليه,	Neutral
darija_train_00006	كيف سمحت لك نفسك ان تقارن اردوغان بالحمار بنكيران للتذكير انا #ممصوتش	Negative
darija_train_00007	مليلية.. رئيس حزب “بوكس” الإسباني اللي كيعادي بلادنا: تأجيل زيارة وزير الخارجية للرباط كييبن بللي المغرب هو المتحكم فكلشي وكيطالب حكومة مدريد تبقى سادة الحدود بين البلدين,	Neutral
darija_train_00008	dakchi alach hamdoulah mereta7 et en bonne santé 😂	Positive
darija_train_00009	تحياتي أستاذة منيب	Positive
darija_train_00010	"ولا انا متحزب ولكن حزب العدالة """" بنكيران"""" أخبت خلق الله"	Negative
darija_train_00011	غير التحت ، الفوق لا 😂	Neutral
darija_train_00012	ترح و ترجع بالسلام ياحبيبي'	Positive
darija_train_00013	اول فنان مغربي عربي تصل اغنيته ل خمسة مئة مليون مشاهدة على يوتيوب'	Positive
darija_train_00014	ها أول تعليق رسمي من خارجية الصبليون على اكتشاف احتياطات نفطية كبيرة فسواحل أگادير,	Neutral
darija_train_00015	wlah matfro insana tafha ma3ndha hta hadaf f hyatha bghat ghir nas igolo 3liha zwina tfoo	Negative
darija_train_00016	الله أكبر والعزة لله الله يحميكم وينصركم'	Positive
darija_train_00017	السياحة مقابل البيتكوين، فعلا فكرة رائعة و غير مسبوقة. و إشهار مجاني للسياحة بالمغرب كما أشار المقال. أتمنى أن يتدارك المغرب الموقف و يلتحق بالركب. ارحموا هذا البلد السعيد.'	Positive
darija_train_00018	مجموعة طاليس العالمية حلات مركز عملياتي للأمن السيبيراني فالمغرب,	Neutral
darija_train_00019	هذشى كاين الاغلبية ديال الشعب  عارف الله  غالب	Negative
darija_train_00020	conane likid3ambety o abdsalam dar bareh hamla 9alek hejmo 3la had siyed bach ibtissam t9dar dir 3ando aflam	Negative
darija_train_00021	تقرير: مفاوضات إسرائيلية تركية سرية ناقشو فيها يدار أنبوب غاز مشترك لتزويد اوروبا,	Neutral
darija_train_00022	machi darori tkhayel m3aya bnek de 5 ans chiyar chi lo3ba jatek nel 3aynina dabezti m3a jara konti kharja men bab we weld l7awma tira fe ballon jak nel 3aynina mohim tzer9atlek l3aynina we sab7a khadama had make up tutorial ye9dar ynef3ek	Negative
darija_train_00023	الحكومة عطات هدايا جديدة للمقاولات الوطنية لي كتشد الصفقات العمومية..منها تمديد آجال الأشغال واسترجاع الضمانات وفسخ الكونطرا وديا,	Neutral
darija_train_00024	ان لله وان اليه راجعون ولا حول ولاقوة الابالله العلي العظيم'	Negative
darija_train_00025	الدكتور التازي واللي معاه تابعوهم بتهمة “الاتجار فالبشر”.. والقضية عندهم حامضة بزاف,	Neutral
darija_train_00026	تبارك الله على سي حكيمي بالتوفيق'	Positive
darija_train_00027	شكرا على المجهودات ....اتمنى لو كانت الترجمة'	Positive
darija_train_00028	hna kanmoto 3lik kifma nti b9ay m3a rafa wakha kaytkhasem m3ak rah 3ziza 3lih hna likanchofo kolchi slm	Positive
darija_train_00029	خاص. تفاصيل صادمة على جريمة اغتصاب تلميذة قاصرة من طرف أستاذ ففاس,	Neutral
darija_train_00030	لاينبغي لصحفي يحترم نفسه ويحترم مهنته ان يطرح مثل هذا السؤال'	Negative
darija_train_00031	شكرًا لكم بزاف .. قريت جميع التعاليق و أسعدني تفاعلكم ♥️ أسعدكم الله 🌸﻿'	Positive
darija_train_00032	انا متافقة معاك امين جطيوي ماتبدل صاحبك غي ما كرف هاحنا غادي نشوفو هاد الحكومة اش غادي دير	Positive
darija_train_00033	و أسكنه فسيــــح جناتــــــــه، إن لله و إن إليــه راجعــون'	Negative
darija_train_00034	واخيرا انزاح راس من رؤوس الخرافات و الاحلام المنمقة و الكلمات الفضفاضة فهو لم يكن يوما صديقا للشعب ولا ودودا به ولا مدافعا غن مسكين بل هو نسخة من فتح الله اولعلو في صورة متسيلم على وزن دون كشوط يحارب الاشباح والتماسيح والعفاريت ...والمساكين والشعب المسحوق بالفاظ لا تمت لرجل سياسة لا من قريب ولا من بعيد فهو دمية مهرجة فقط فلا بارك الله فيك ولا في من صوت عليك'	Negative
darija_train_00035	rfa3ti rasna w rfa3ti rayat bladna lah yhfdek wykhalik lina jtm ♥♥	Positive
darija_train_00036	لكن للأسف الشديد الرشوة استفحلت في مجتمعنا وأصبحت شيئا عاديا'	Negative
darija_train_00037	منذ بداية الولاية الحكومية. 8475 منصب شغل مباشر وغير مباشر جديد خرج للوجود.. أخنوش: خاص الحرص على الفعالية فدراسة المشاريع اللي كتدوز فلجنة الاستثمارات,	Neutral
darija_train_00038	9li lya 9alti chi bnat rayemchiw 3and btissam chno daro	Neutral
darija_train_00039	ماشي شوف تلفزة هاذ القناة الجاهلة الرذيءة أنصح كل للأحرار والحرائر من شطبها والله الغني'	Negative
darija_train_00040	وزيرة الانتقال الطاقي: مكنشريوش الغاز من اسبانيا وها شنو تافقنا معها.. وكنوجدو صفقات مع دول صديقة منها قطر باش نستوردو الغاز الطبيعي,	Neutral
darija_train_00041	يالمذلولا الذل لي راكم عايشين فيه يكفيكم وزيادة اصبحتم أضحوكة العالم'	Negative
darija_train_00042	سامسونج هيا التوب ها الاس 6 عندي و شحال من مرة طاح و مزال خدام السلعة د الشينوا منشريهاش و تبقى غا هي'	Positive
darija_train_00043	الله أكبر القدس عاصمة فلسطين الأبدية و لقد فتحتم أبواب جهنم عليكم يا يهود'	Negative
darija_train_00044	الله يكرمك ويرضي عنك'	Positive
darija_train_00045	mezyana fihoum wakha mbs dine 🐕	Negative
darija_train_00046	نتمنى له كل النجاح والتوفيق.....للانه مدرب كبير....وان الزاكي كان يضلم ويتدخل في اختيارته....هدا مايعكر صفو كل المدربين الكبار في اللعبة'	Positive
darija_train_00047	اجمل وارجل واشيك شعب فى العالم شعب الشجعان بنت ارجل من العالم العربى كله'	Positive
darija_train_00048	yalah kan9ob fin ntfrj	Neutral
darija_train_00049	من ينتقد بن كران هم خصوم معارضة لى خاصها هي سلطة لا تهتم لوضعية مواطن	Negative
darija_train_00050	hhhhhhhhhhhhhhhhh matjawboch hada rah la9itt mne douk dzarin li ness ness lay3fo rah chb3o fih m3yor odb ja andna	Negative
darija_train_00051	شكرا اورونج فالا نترنيت تصل الينا حتى البوادي وان لم اقل الجبال فاورنج انهت عزلتنا شكرا مرة اخرى عيد ميلاد سعيد مع المزيد والحرص على العمل '	Positive
darija_train_00052	wa ri sokti koun chi ana koun chti hadik charfa dyalma3art ach smit tasiltha bahdloha lah ybahdlhom tba3ab lblaa	Negative
darija_train_00053	كتحمقني والله زويييونة تبركاالله عليك'	Positive
darija_train_00054	hhhhhhhhhhhhh safe fda7ti l moufaj2a d momo et hatim	Neutral
darija_train_00055	صوتك زوين لكن أظنك تحتاجين ان تمرني صوتك اكثر و حولي ان تضفي طابعك الخاص في اي اغنية على كل صوتك جميل و انت جميلة اتمنى لك التوفيق والنجاح'	Positive
darija_train_00056	chad lil tfkr f hyatk	Neutral
