ID	tweet	label
ha_train_00001	@user Da kudin da Arewa babu wani abin azo agani da yayi wa alummah allah ya isa yacucemu wlh yarikitamana kasa yarikitamana kasuwanci harkar ilimi harkar lfy hanyoyi babu lantarki dasuransu komai yalalace ga cinhanci da rashawa a fili ko ina a Nigeria jamiyaryar su tabataman mlm 😭🗣	negative
ha_train_00002	@user Kaga wani Adu ar Banda💔😭 wai a haka Shi ne shugaban sojoji.... Gaskiya Buhari kaci Amanan mu da kasa wannan mutum ah wajen nan	negative
ha_train_00003	@user Sai haquri fa yan madrid daman kunce champion din ya muku yawa😂	negative
ha_train_00004	@user Hmmm yanzu kai kasan girman allah daxakace mukuma ga Allah kune kukabarshi kuna karyata ayoyinsa kace allah baya karbar adduar talakan nigeria 🇳🇬 bayan kunzalunceshi kuma allah ya karbar adduar wanda aka zalunta cikin sauri amma kace wai Allah baya karbar addua talakawa	negative
ha_train_00005	@user @user Wai gwamno nin Nigeria suna afa kwayoyi ko 😂	negative
ha_train_00006	@user To Ku nemawa talakkawa mafita mana, Magamar banza ko hare hare anka kawo waye sukafi shafa ba talakka ba? Kumfi uban kowa kuka da matsaloli amma baku damuda wadanda suke shafaba, Nan tsohon gwamnan Zamfara yacce sulhu da 'yan bindiga ba shine mafitaba To mi shika nuhi? Mits....😭	negative
ha_train_00007	@user Wato mutanen ma an koma fasa kwaurin su ke nan kamar wata shinkafa?😂	negative
ha_train_00008	@user Toh ai iyayannaki mah basusan darajan musulinchi ba tun da sukabar ki kinayin halin kafurchi ai bakiyi dana saneba tukun nama😡😡😡	negative
ha_train_00009	@user 🤣😜🤣😜Shirin ku ya rushe akan Afrika kenan 👌	negative
ha_train_00010	@user Rarara kai dabanne wallah indai a fannin wakar siyasa ne, basirarka ta daban ce.... 😂 #dodontsula 😝	negative
ha_train_00011	@user Ai shiyasa naga shi kansa dan rainin wayon yana zama a qasar tasa ana dubashi. May be fa a Jordan din dayace yayi wannan kalaman tunda yasaba qanqantar damu a idon duniya😣😣	negative
ha_train_00012	@user Chan ta matse musu. Damuwata masallatai da aka rufe ne 😭😭	negative
ha_train_00013	@user Mutanan Nigeria 🇳🇬 suna Allah wadai da tafiyar ka kasar waje, ya kamata katsaya asibitin gida adubaka indai Kai mai-kishin chigaban kasane😇	negative
ha_train_00014	@user Tayi maganin dan banza..... 😂	negative
ha_train_00015	@user Nifa Ina ganin nafi simeone murna yau an sallami yan iska🤗🤗🤗	negative
ha_train_00016	@user Qawar ki tana cikin wani yanayi amman kina IG busy posting pics as if you are under arrest 🙄 https://t.co/vlfqEDHtnY	negative
ha_train_00017	@user Buhariko to buhari yayafema Allah kuma ya kamu kaidashi ranar wlh zakugane Annabi Isah ba Dan allah bane 😱	negative
ha_train_00018	@user Nikam wai yan gudun hijira ne kawai suke da rai mutanen gari kam Baku ganin ukuba da wahalar da suke ciki ne jama'a komi wai aka samu yan gudun hijira yan gudun hijira 😠😡😱😱😒😫😏😚	negative
ha_train_00019	@user Kuttumar uba...ai dole muko ma guna😂😂	negative
ha_train_00020	@user Akwai jarababbu d yawa😎	negative
ha_train_00021	@user Lanberia kenan😅...ai suna sane suka kunno kayar su,,dama ai lokacin siyasa ya kusa~salon su raba mana hankali~sun dade barakar bata yage ba~anki adinke barakar...😡😡😡	negative
ha_train_00022	@user Boko haram sun shiga garinmu garkida sun tarwatsa kowa kowa yanbar gari an kashe wasu mutanen mutanena sun shiga wani hali bazan taba manta wanan ranan nan ba 😭😭😭😭	negative
ha_train_00023	@user Duk salon yaudara ce kawai saboda ‘yan Najeriya su zabe shi a 2023!. Tun yaushe ake shan wahala a Najeriya? Ko sai yau ya sani? 😒	negative
ha_train_00024	@user Wai Cameroon domin lalacewa, gaskiya shugabanninmu basu da amfani😡	negative
ha_train_00025	@user Lol hadda Yan nanaye akemana adawa🙆🙆🙆	negative
ha_train_00026	@user Shikadai yasan wutar da yake karba yanxu haka 😔😂😂	negative
ha_train_00027	@user Wannan tatsuniya ce hira ne yake fada kawae 😢😢 yasan da haka ya tafi can yawon barbada 🖕🏻	negative
ha_train_00028	@user Yau ba ranar kulaku bace😂 No charge No surp	negative
ha_train_00029	@user Yau da shuwagabannin Najeriya ke bada iska da numfashi da tuni babu iri irin mu a doran qasa. 😔😔	negative
ha_train_00030	@user Idan kana iskancinka to katsaya iya jaharka amman inkashigo nan to tabbas zamu yimaka abinda baka tsammani koda babankae bihari😎	negative
ha_train_00031	@user Ko a mafarki kinki mu haddu sai jiya, Jiya ma zamu haddu akawasa ruwa natashi daga bacci am really unlucky gaskiya😄😅😭😭😭	negative
ha_train_00032	@user Wai ya makeup da kikeyi ba'a rage maki bakin vampires din ki ne? Baki har kunne😂😂	negative
ha_train_00033	@user An tarwatsa layin zabe a rumfar Mai Garin Gama👉 https://t.co/hkIGhLNwt3 #KanoRerun #NigeriaDecides #Kanodecides https://t.co/D2Uan8BrSz	negative
ha_train_00034	@user Subahana babu amana😂	negative
ha_train_00035	@user Yafi cuta illa 🤒 😂	negative
ha_train_00036	@user Allah ya kara_next time tayi mata kunfu🔨🏃🏃🏃	negative
ha_train_00037	@user Anci kudin dalibai. Hahahahah😀😂🤣 #mbuhari is working	negative
ha_train_00038	@user Mu masana ilimin yunwa mun tabbatar da 29 za'ayi 🙄🙄	negative
ha_train_00039	@user Da wani wawan fuskanshi a gurin🙄	negative
ha_train_00040	@user Ana iya shege a Nigerian 😂	negative
ha_train_00041	@user 😭😭😭😭aikin knn Sai kwamushe yayan alummma ake Amma Kuna ta allurar karya wae Corona hmm kuje kufara karbo yaran da aka dauke snn kuzo kuyi mgn Corona	negative
ha_train_00042	@user tabar solobiyo da bashi🤣	negative
ha_train_00043	@user Tsakanin Mu da ke Sai Allah ya Isa kawai,Dun da baki Saka Wa ennan Hotunan ba, tun farko, da hakan Bata Faru ba, kuma Ma Kukan Me Zaki Zo nan kinayi, me Yasa Bakiyi tunani, tun Kafin ki Saka su ba, A dole ke kin waye, ke ga Celebrity, A zindir Allah ya isar mana Wlh 😢😢	negative
ha_train_00044	@user Insha Allahu baza a bayar ba karawa me karfi karfi asara ne wlh Allah Ameen 😂	negative
ha_train_00045	@user Dan Allah idan an girma Asan an girma. A wnn shekarun kana Irin wnn maganar. Kace ba'a taba Barna Irin wnn lkcn ba, abun nan fa abuse yake. Mai girma minista Ina ganin Girman ka😭	negative
ha_train_00046	@user Eh hakan zai taimaka kam. Esp. Wajen tada musu da hankali. 😅 Su baba an waiwayi kurame. Ohh!	negative
ha_train_00047	@user Gaskiya wannan hukunchi baiyi ba kuma abun yafara yawa sallar ma arasa lokachin hanata sai da axumii xa'ahana to ALLAH GASUNAN GAKA 😭😭😭😭😭	negative
ha_train_00048	@user Bb munfakai NE bayan zabe 🤔	negative
ha_train_00049	@user In ta mune, har abada kar ma ya yi inganci😏🙄	negative
ha_train_00050	@user Daga Baya kenan* """"""""""""""""Tusane ya qarewa bodari"""""""""""""""" """"""""""""""""Kuma babu wata shiga da kunun zaqi zaiyi yabawa koko tsoro"""""""""""""""" U can't undo what has happened girl Cuz u created the chance. Emmm sorry bby😟	negative
ha_train_00051	@user Kaga dan bura uba kamar ya daga tutar musulunci se faman kwalalo ido yakeyi hiihihih😂😂😂😂	negative
ha_train_00052	@user kugaya mishi buhari be ma San anyimishi mutuwa ba ai haryanzu😂😂😂	negative
ha_train_00053	@user 😂🤣😄shegiya Weed Bbc ashe kuma kukan taba	negative
ha_train_00054	@user @user @user taraba diyan banza😸	negative
ha_train_00055	@user Ina ruwanmu daman bazamu ba 😏 Wancan shhekaran ma da muka je 200 ya bamu dan uwatar 😎😏	negative
ha_train_00056	@user Zasu sa miki hawan jini kau😂😂😂	negative
ha_train_00057	@user Ansace Yaran Primary a Kaduna Yau Baice komai va, Amma kaji Mugun Wai a yau din dai ya fito yana Taya Mawaqa Murna🤣🤣 Alqur""""""""""""""""an yan Arewa kun Zabi Keken Bera🏃🏃	negative
ha_train_00058	@user Dama an ce yaranta kaman hauka ne.. sai ya he ya ci gaba da dawisu sa a gidan baban sa.😁😂🤣	negative
ha_train_00059	@user Allah ya tsinewa amnesty albarka. Allah ya wulakanta su fiye da yadda suke wulakanta bangarorin musulunci. Ameen ya HAYYU YA QAYYUM 😭	negative
ha_train_00060	@user All dis and dt na scam ... .. dole qanwar naqi @user .. ta sanadinki .. anyima annabinmu isgili ... mara kunya kawae ...😡😡.. dawai ribabban jikinki . Mara albarkan dunia bare qiyama ...👺👺	negative
ha_train_00061	@user Saidai rahama taji kunya Kuma tasabajin Kunya dama🙄🙄	negative
ha_train_00062	@user YDG dama idon kaji saurayin da yace ma budurwa ta turo Mai da tsiraicin ta, toh ba auran ta zai yi ba lalata kawai yake so yayi 😭😭	negative
