text,text_id,annotator_1,annotator_2,annotator_3,label_1,label_2,label_3
#nada0074 Jomo3a mobaraka inchallah 3liya we 3la la famille dyali awalan 9abla koli shay2.,718363803730255872,79.0,72.0,73.0,Positive,Positive,Positive
#WhatAboutArabArmy Lay lay lay lay lay lay la la la lay lay 😭😭😭😭😭😭😭😭😭😭😭.la lay lay lay lay lay la la la la lay lay 💔💔💔💔💔💔💔💔💔💔💔💔💔 @BTS_twt,1132446664524992513,79.0,72.0,73.0,Negative,Indeterminate,Indeterminate
@nohita123 @Anyssa_Ch la daba homa li ghadi ykhtaro hna khas nsd3ohom b smit ibtissam,572454278280957952,72.0,79.0,73.0,Neutral,Neutral,Positive
@sansuuna matbkhlich 3lina wakha ma3rt fin kati7o 3la had la9atat hhhh,678348636921708544,72.0,79.0,73.0,Neutral,Neutral,Positive
@aminattttta o soltana fella wa3dat ibtissam boghniya,598922689957462016,73.0,72.0,79.0,Neutral,Neutral,Neutral
@Ihab_Amir ihaaab nta tstaleel la9ab o nta charaftii l maghreeb tkp pas hna mftakhriin biiik wlah ila raak charaf l mdint asefi kan7ma9 3lik,683031232821723137,72.0,79.0,73.0,Positive,Positive,Positive
@greenadilaida @FatihiW Merehba khouya adil chi poisson au four mais pas rfissa ma dakhlach 3endi f le menu diali ma ka nete9ach l hajja li ma ka ne3erefech liha 😎,1193629064881414146,79.0,73.0,72.0,Neutral,Positive,Positive
"Fach l prof dyal communication katsm3ek glti ""un video"" https://t.co/cDclUqeKuT",1111603885641289729,73.0,79.0,72.0,Neutral,Neutral,Neutral
@91Grosminey @IbtissamTiskat @fatiinatiskat @ali__shaddad @FullaSoltana ana tasdamt mali shat had la photo oui f lebnon,598249221825900544,73.0,72.0,79.0,Negative,Negative,Negative
@_BigBen__ @L7argouss @ucef79 kayn Chi man9diw ? Sme3t sou9 rassek toussa,741683197201788928,72.0,79.0,73.0,Neutral,Neutral,Neutral
@wiihuda Rialto kan 3endi m3ah,1554583079263653888,72.0,79.0,73.0,Neutral,Neutral,Positive
@fahadalmotry hhhhhh ahssan chii howa l bloque khalanaa nitfada ktirr nass,585173409925050368,79.0,73.0,72.0,Negative,Positive,Indeterminate
@laafyamusic @diib_diibologie Hhh rtnood twra fi ljara mn b3d trak dual pause,1451143502549504003,79.0,72.0,73.0,Negative,Neutral,Indeterminate
"@Ssoukiana @HananeElKhader allah ywaf9ak, wysahal 3lik ya rab",738757657461436416,72.0,79.0,73.0,Positive,Positive,Positive
@8dadLA fakertini 3andi wa7ed sa7bi 3roubi en vacances en ce moment 3andek Hahaha msawer m3a nejma dial Tom Cruise 😂😂😂 Goultlo tafertih 😂😂😂,678501431746367488,72.0,79.0,73.0,Negative,Negative,Positive
Ta kifach bnadem 3ndi l3otla dl3id,1547195035078332416,72.0,73.0,79.0,Neutral,Neutral,Neutral
@Shoupayla bach n3awdo n9raw man s1 f ENCGT maskhawch bina,620595516812996608,72.0,79.0,73.0,Neutral,Neutral,Positive
@aminaf14 @IbtissamTiskat mni ina w9t onti ghabra bach n9olole jadid hhh,609106157949603840,79.0,72.0,73.0,Negative,Neutral,Neutral
