tweet_id,annotator1,annotator2,annotator3
1559830030167019521,negative,negative,neutral
1559647075570225152,negative,negative,negative
1559608780735893505,negative,negative,negative
1559219825997660160,negative,negative,negative
1559126446613975043,negative,negative,negative
1558246514014691329,negative,negative,neutral
1557711303208214528,negative,negative,negative
1557354268537065473,negative,negative,negative
1557311341156880387,negative,neutral,negative
1556966086465167360,negative,neutral,positive
1556950897686716421,negative,negative,negative
1556733965582696448,negative,negative,negative
1562056660818042881,negative,negative,neutral
1560922893122473984,positive,neutral,positive
1560917066789552129,negative,negative,negative
1560895870689837057,negative,negative,negative
1560192455747768321,negative,negative,negative
1560043720090722304,negative,negative,negative
1559063775759765504,negative,negative,negative
1558812241125842945,positive,neutral,negative
1562378054546214913,negative,negative,negative
1562367977227427840,negative,neutral,neutral
1562357438535327745,negative,negative,neutral
1562347750582374401,negative,negative,negative
1562214426635378688,negative,neutral,neutral
1562211392928743425,positive,neutral,positive
1562206072135622657,negative,positive,positive
1562197849588129792,negative,neutral,neutral
1562197318744813570,negative,neutral,positive
1562194629910753280,negative,negative,neutral
1562194440558891008,negative,negative,neutral
1562192491218055169,negative,neutral,neutral
1562191982516408321,negative,negative,negative
1562180118734323712,negative,neutral,negative
1562159297118846978,negative,negative,positive
1562127604899057664,negative,neutral,positive
1562110046716166145,negative,neutral,neutral
1562099446904651777,negative,neutral,neutral
1562095008500617217,negative,negative,negative
1562093952597106690,negative,neutral,neutral
1562069551335997444,negative,negative,neutral
1562069116906766336,negative,negative,neutral
1562064544993890304,positive,neutral,neutral
1562060717746003968,positive,neutral,neutral
1562048900160032768,positive,neutral,negative
1561985231502168065,negative,positive,positive
1561938987257925632,positive,neutral,positive
1561856770171092994,positive,neutral,negative
1561841098095460352,positive,neutral,negative
1561826325534576640,negative,negative,negative
1561804105466712064,positive,neutral,neutral
1561767407374458880,negative,negative,negative
1561765739014545408,negative,neutral,neutral
1561737431010971649,negative,neutral,neutral
1561734305990078466,negative,neutral,negative
1561717759863578624,negative,negative,negative
1561715196875382790,negative,neutral,negative
1561706440473051137,positive,neutral,neutral
1561702717940170759,positive,neutral,negative
1561690579699916801,negative,neutral,negative
1561690282663575552,negative,negative,negative
1561689851258339328,positive,negative,positive
1561687482915340288,negative,negative,negative
1561654647500185601,negative,negative,negative
1561635097006280704,positive,neutral,neutral
1561632100368932865,negative,neutral,neutral
1561631464558628865,negative,negative,negative
1561625624153919488,negative,neutral,neutral
1561479050819817472,positive,neutral,negative
1561466212726575106,negative,neutral,neutral
1561445606496813063,positive,positive,neutral
1561430777354764293,negative,negative,negative
1561426927386107904,negative,neutral,neutral
1561424476310450176,negative,negative,negative
1561371333040017409,negative,neutral,negative
1561360418521710592,negative,neutral,neutral
1561359302220283906,positive,neutral,neutral
1561353211663060993,positive,positive,positive
1561342749709934593,positive,negative,neutral
1561252144950530049,negative,negative,negative
1561146300552613888,negative,neutral,neutral
1561097414093709313,positive,positive,positive
1561031165892562949,negative,negative,negative
1560981915309588481,negative,negative,negative
1560977243769372676,positive,neutral,negative
1560974602209460224,positive,negative,neutral
1560958386459533318,negative,negative,negative
1560947415838068736,positive,neutral,neutral
1560929123882729473,negative,negative,negative
1560894847971631106,negative,negative,negative
1560872883169157121,negative,negative,neutral
1560771310556516358,positive,neutral,positive
1560764652413456390,negative,negative,negative
1560742526629191680,negative,negative,neutral
1560742019353419776,negative,negative,neutral
1560726557920006153,negative,negative,negative
1560677973938040834,negative,positive,positive
1560614437823733760,negative,negative,positive
1560564027201269760,negative,negative,negative
1560557568761532417,negative,neutral,neutral
1560547584472748032,positive,negative,positive
1560544761307594752,positive,neutral,positive
1560461071479197696,positive,neutral,positive
1560423275725029378,positive,neutral,neutral
1560418473007783937,positive,neutral,negative
1560399195089018882,positive,neutral,positive
1560394718248407040,negative,negative,neutral
1359471789567586304,negative,negative,neutral
1560392730131456001,negative,negative,negative
1560378735374761985,negative,positive,positive
1560313839744327680,positive,positive,neutral
1560310171720486912,negative,negative,negative
1560264247699177476,negative,neutral,negative
1560229762802614272,negative,negative,negative
1560227955934220292,negative,negative,negative
1560207601236951040,positive,neutral,positive
1560201309722124289,negative,negative,negative
1560200484106952704,negative,negative,neutral
1560170522788388865,negative,neutral,neutral
1560062463047094273,negative,neutral,neutral
1560046533638242310,negative,neutral,neutral
1560025279824728064,positive,neutral,positive
1560021395505090561,negative,negative,negative
1560017213645627393,negative,negative,negative
1560016384578527233,negative,negative,negative
1560015185733099524,positive,positive,positive
1560000038780141572,positive,negative,negative
1559977417309130753,negative,negative,negative
1559957606474604546,negative,negative,negative
1559951288632221696,negative,neutral,neutral
1559949457151647745,negative,neutral,neutral
1559945918840913920,positive,neutral,negative
1559940985349718016,negative,negative,negative
1559921379436380163,positive,positive,negative
1559896211167105025,negative,negative,negative
1559894460238110722,negative,negative,negative
1559893640775876610,positive,negative,neutral
1559873291015393282,positive,neutral,positive
1559817608890925056,positive,neutral,positive
1559813113314164736,negative,negative,negative
1559810147463094272,positive,negative,neutral
1559678291346341888,positive,neutral,positive
1559672930128347136,positive,neutral,neutral
1559667212444737538,positive,neutral,neutral
1559664298405814283,negative,negative,negative
1559663776101810180,positive,neutral,positive
1559660726280675333,positive,negative,positive
1559642635366719489,negative,neutral,neutral
1559641072724328460,negative,negative,positive
1559586974570348544,negative,negative,neutral
1559560038951161856,negative,negative,negative
1559552224107405314,negative,negative,negative
1559518047135830022,negative,positive,neutral
1559514938888130560,negative,neutral,positive
1559511696728899585,positive,positive,positive
1559511676101267458,positive,neutral,positive
1559436682562265088,negative,neutral,neutral
1559398685087260672,negative,negative,positive
1559292171974483968,negative,negative,negative
1559278960885829632,negative,neutral,positive
1559276451324743692,negative,negative,positive
1559276038496129025,negative,positive,negative
1559274761619922949,negative,negative,negative
1559274614643105792,negative,negative,negative
1559263251501879296,positive,neutral,positive
1559260134865510400,negative,neutral,neutral
1559252969316655104,negative,negative,positive
1559238890963312642,negative,negative,negative
1559234243980566536,positive,positive,positive
1559219840765788160,negative,neutral,positive
1559203583421288449,negative,neutral,positive
1559193124295114752,negative,negative,neutral
1559154213342543872,negative,neutral,negative
1559146900485447681,negative,negative,negative
1554087264439136256,positive,positive,positive
1554086171139088386,negative,neutral,neutral
1553919293309521920,negative,negative,negative
1553825405521502210,negative,positive,positive
1553804112357212162,positive,neutral,positive
1553747327894134785,negative,negative,negative
1553742589144309763,positive,neutral,neutral
1553697238295126018,negative,neutral,neutral
1553681042262958080,negative,neutral,neutral
1553653634138783746,negative,negative,negative
1553538933073580032,negative,negative,negative
1553508681689567233,negative,negative,negative
1553500999406469120,negative,negative,negative
1553469916724039680,negative,negative,negative
1553419758153908224,positive,neutral,positive
1553189329203527680,positive,neutral,neutral
1553107880399732737,negative,negative,negative
1553030967568261120,negative,negative,negative
1552998270590410753,negative,negative,negative
1552985379438985217,negative,negative,negative
1552968554743533571,negative,neutral,neutral
1552960405852626944,positive,negative,neutral
1552922673528946688,negative,neutral,neutral
1552795304679833601,negative,negative,negative
1552769193031962624,negative,negative,positive
1552752610020564992,negative,neutral,positive
1552699393438109697,positive,positive,positive
1552461865577488385,negative,neutral,positive
1552671852975226882,positive,neutral,positive
1552654174612963329,positive,negative,positive
1552648110609801216,negative,negative,positive
1552632316459106306,positive,negative,positive
1552457255639027713,negative,negative,negative
1552433655444049920,positive,negative,positive
1552414897878847493,neutral,neutral,positive
1552413531001143296,negative,neutral,neutral
1552410229932957696,negative,neutral,neutral
1551552590118273026,negative,negative,neutral
1552356009384914945,negative,negative,neutral
1552316705766084614,negative,negative,neutral
1552313292865110017,negative,negative,neutral
1552308578924601344,negative,neutral,positive
1552244996039901184,positive,positive,neutral
1552217722867556354,negative,negative,neutral
1552065583717523457,negative,negative,positive
1552053013837238272,positive,neutral,neutral
1552052905804447744,negative,negative,neutral
1552050641551458305,negative,negative,negative
1552045700812259328,positive,positive,positive
1552035384015704067,negative,negative,negative
1552025333888679937,negative,negative,negative
1552016684613046273,negative,negative,positive
1552005647704760323,positive,positive,neutral
1551990652723945473,negative,negative,negative
1551952847809531904,positive,neutral,positive
1551948931780812800,negative,negative,neutral
1551945341758570497,negative,negative,neutral
1551868513043742727,negative,positive,positive
1551685861040963584,negative,negative,negative
1551666728517746690,negative,negative,negative
1551588472959504384,negative,positive,negative
1551552320500113408,negative,negative,negative
1551550818746253314,negative,positive,positive
1551545219958689792,negative,negative,negative
1551543700169318403,positive,negative,neutral
1551522361190539265,negative,neutral,neutral
1551500559764578304,negative,neutral,neutral
1551340904920846338,negative,negative,negative
1551300593620246534,negative,neutral,neutral
1551300132272017408,negative,negative,negative
1551240546634670082,negative,negative,negative
1551195030542491648,negative,negative,negative
1551194033514586112,positive,positive,positive
1551142945532813313,negative,negative,negative
1551009033095708675,positive,positive,positive
1544826213734432768,positive,positive,positive
1550981916123332610,negative,negative,positive
1550969634974797824,negative,negative,positive
1550966829660737536,negative,neutral,neutral
1550902856491974659,positive,negative,neutral
1550878158559248386,positive,positive,positive
1550861877261074433,negative,negative,negative
1550755972796370946,negative,neutral,neutral
1550550255535628294,negative,negative,negative
1550538142750412800,negative,negative,neutral
1550519954860130306,positive,positive,positive
1553871574335471616,negative,neutral,neutral
1553862324007714821,negative,negative,negative
1553860792054960128,negative,negative,neutral
1553780840592703491,negative,neutral,neutral
1553452684413386753,negative,neutral,positive
1553525477402345475,negative,negative,neutral
1553778922327777282,negative,negative,negative
1553778275985620992,negative,neutral,negative
1553773042769297410,positive,positive,neutral
1553765677357563904,negative,neutral,neutral
1553765191917133826,positive,negative,neutral
1553764485608968195,positive,positive,neutral
1553758581563875328,negative,neutral,neutral
1551297585478078464,positive,neutral,neutral
1551295468822339584,negative,neutral,neutral
1551285075777650691,positive,positive,positive
1551282561401364481,positive,neutral,neutral
1551268850225889287,positive,neutral,neutral
1551026487771422720,negative,neutral,positive
1551255652785348610,negative,negative,negative
1551234770507444225,negative,negative,negative
1551227958379044865,negative,negative,negative
1551223180878028802,negative,negative,neutral
1551180152255774727,negative,neutral,neutral
1551174846633185282,negative,negative,negative
1551150836281131008,negative,negative,negative
1551057067707867141,negative,negative,neutral
1550999132160016387,negative,negative,neutral
1550997890495139840,positive,neutral,positive
1550993184624463872,positive,neutral,positive
1550927639455596544,negative,neutral,neutral
1550926782060167168,negative,negative,positive
1550896340732985350,positive,neutral,positive
1550860771516612609,negative,negative,neutral
1550860544407703553,negative,neutral,negative
1550856377391800325,neutral,negative,positive
1550839595163590656,negative,negative,negative
1550825202623332353,negative,negative,negative
1550773954058625024,negative,neutral,neutral
1550761030225207296,positive,negative,positive
1550611592408190983,positive,negative,negative
1550594040336457732,positive,negative,negative
1550594037970862083,positive,negative,negative
1550584470935330817,positive,neutral,positive
1550582967365505026,positive,neutral,positive
1550583928821530624,positive,neutral,neutral
1550583554823839750,negative,neutral,neutral
1550564964754137089,neutral,negative,neutral
1550582967365505026,positive,neutral,positive
1550565764008116231,negative,neutral,neutral
1550557904905838592,neutral,neutral,neutral
1550510704083537920,positive,negative,neutral
1550510161818750976,negative,negative,positive
1556140741314969602,positive,positive,positive
1556006332880359426,positive,positive,positive
1555993020419522561,negative,neutral,positive
1556039180299403265,positive,positive,positive
1556080613425381376,positive,positive,positive
1556073938379317248,negative,negative,positive
1554092911825928193,negative,negative,negative
1554092628647583744,negative,negative,negative
1554092597576081409,positive,neutral,negative
1554092100819599360,negative,negative,negative
1554091249564635137,negative,negative,negative
1554088169347448838,positive,negative,negative
1554084866412761088,negative,negative,negative
1554082103465283585,negative,negative,negative
1554073445356523520,negative,negative,negative
1554071791504596999,negative,neutral,positive
1553720608218910721,positive,negative,positive
1554064866163523584,positive,negative,negative
1553718520952901633,positive,negative,positive
1554046812994117632,positive,negative,neutral
1553700024986517504,negative,negative,negative
1554043562395852800,negative,neutral,neutral
1554036029560168448,positive,neutral,neutral
1554024911458402304,negative,negative,negative
1554023924144406529,positive,neutral,neutral
1554017628037038081,positive,negative,positive
1553905024631275520,negative,negative,negative
1553897056309231617,negative,negative,negative
1553896986679582720,negative,negative,negative
1553882994431123456,positive,negative,positive
1553875979793203202,negative,negative,negative
1553870022077980672,positive,negative,positive
1553868035861237765,positive,neutral,negative
1553860330589241350,positive,negative,positive
1553846866168651776,negative,neutral,negative
1553845911050194948,positive,neutral,neutral
1553839058144690178,negative,negative,negative
1553829325564264456,negative,negative,negative
1553821424799948808,negative,negative,negative
1553806599021789184,negative,negative,negative
1553803105241800711,positive,negative,negative
1553467957652717571,positive,negative,negative
1553792417215692805,negative,positive,positive
1553747238643433472,positive,positive,neutral
1553720608218910721,positive,negative,positive
1553725565022208000,negative,negative,neutral
1553707769164955648,positive,neutral,neutral
1553679133305196544,negative,negative,negative
1553651773281341440,negative,negative,neutral
1553441122327879680,negative,negative,neutral
1553427479406198787,positive,neutral,neutral
1553420001813663745,positive,negative,negative
1553355323351732224,negative,negative,neutral
1553339793559506951,negative,neutral,neutral
1553195796471988224,negative,neutral,positive
1553126522260684802,negative,negative,negative
1552618206795370496,positive,negative,negative
1552611359375982599,negative,negative,negative
1551214235669200900,negative,neutral,positive
1550895487154266114,positive,negative,positive
1550886469874728961,negative,negative,negative
1554092211591155713,neutral,neutral,neutral
1554079324428505092,positive,neutral,positive
1554059088211968001,positive,neutral,neutral
1554044905760198657,negative,neutral,neutral
1554037916892028931,positive,neutral,positive
1554033812501413888,negative,neutral,neutral
1554033733090557952,negative,neutral,negative
1554028323495452672,neutral,neutral,neutral
1554022331286278145,negative,negative,negative
1553997322987642880,negative,negative,negative
1553934802692325376,negative,negative,neutral
1553880115280478209,positive,neutral,neutral
1553784534507847681,negative,neutral,neutral
1553763324243894276,negative,negative,neutral
1553759959577403397,positive,positive,positive
1553732803610673152,negative,neutral,neutral
1553732195239575555,neutral,neutral,neutral
1553728837090951169,neutral,neutral,neutral
1553698271733899266,positive,positive,positive
1553534430219845632,positive,neutral,neutral
1553525243221770240,neutral,neutral,neutral
1553514128941121541,negative,negative,positive
1553503952360165379,negative,positive,positive
1553495565916409856,positive,neutral,negative
1553493719449485316,negative,negative,positive
1553489557684887553,negative,negative,negative
1553488003577831426,negative,negative,neutral
1553481848533155840,negative,neutral,negative
1553477975898718208,negative,negative,neutral
1553471111811186688,positive,positive,positive
1553452168933433348,positive,neutral,neutral
1553451238573883392,negative,negative,negative
1553438480600125440,negative,negative,negative
1553400846091689985,positive,positive,positive
1553391835808145408,neutral,neutral,neutral
1553388063669248002,positive,neutral,neutral
1553382589783834624,negative,neutral,neutral
1553356784190070785,positive,positive,positive
1553284451718897664,neutral,neutral,neutral
1553272039141773312,negative,neutral,neutral
1553229113057546240,negative,positive,positive
1553137289919881216,positive,positive,positive
1553121168277790723,negative,negative,negative
1553092485966069766,neutral,neutral,neutral
1553090858857160705,neutral,neutral,neutral
1553072208167182336,neutral,neutral,neutral
1552960578355863552,negative,neutral,negative
1552943984607055872,positive,neutral,positive
1552937598041079809,neutral,neutral,neutral
1552848054126104578,neutral,neutral,neutral
1552781529427877891,negative,negative,neutral
1552758286310678529,negative,neutral,neutral
1552735920125771776,negative,neutral,neutral
1552731534813270017,negative,neutral,neutral
1552722006709178368,negative,negative,positive
1552720382486102016,positive,positive,positive
1552706378636165122,positive,positive,positive
1552654271564242947,negative,neutral,neutral
1552630027094790146,negative,negative,neutral
1552613090935578627,negative,positive,positive
1552605100492865539,negative,negative,neutral
1552601591827648512,negative,negative,negative
1552587525482504192,negative,negative,negative
1552545890862350337,negative,negative,neutral
1552448875126231041,positive,negative,positive
1552389991573094405,negative,negative,negative
1552381989478666248,negative,negative,negative
1552378641824337922,negative,positive,neutral
1552371802336288769,neutral,neutral,neutral
1552364421061681153,negative,negative,positive
1552335651890204675,positive,positive,positive
1552015440766976001,negative,negative,negative
1552312894406148099,positive,neutral,neutral
1552310861670371329,negative,negative,neutral
1552257208519360512,negative,neutral,neutral
1552249675322953729,negative,negative,negative
1552240750762549248,negative,negative,negative
1552232720171941888,positive,negative,positive
1551860588791447554,positive,positive,negative
1552080053697187840,negative,positive,positive
1552066624903122944,neutral,neutral,neutral
1552061216679493632,positive,positive,positive
1552058970348703746,negative,neutral,positive
1552053404070993923,negative,neutral,positive
1552051930976993281,negative,negative,positive
1552050529743917056,negative,neutral,positive
1552048819512262656,negative,negative,negative
1552018614953336833,positive,negative,positive
1552033450852507649,neutral,neutral,neutral
1552017093930926081,negative,negative,negative
1552005755922006019,negative,neutral,negative
1551996108737585159,positive,neutral,neutral
1551963271103643648,negative,neutral,neutral
1551863632769826816,negative,negative,neutral
1551845421760274432,neutral,neutral,neutral
1551709194188906496,negative,neutral,negative
1551707311655342082,negative,negative,negative
1551705246640082945,negative,neutral,positive
1551702934555066369,negative,negative,negative
1551701615249432577,neutral,neutral,neutral
1551698957214048258,positive,neutral,neutral
1551696295798214656,positive,neutral,neutral
1551693154692337666,positive,positive,positive
1551689121634172930,negative,negative,negative
1551670575344635910,positive,positive,positive
1551670388190494724,positive,neutral,positive
1551640838861619203,negative,negative,positive
1551617842671501318,positive,neutral,neutral
1551590688759988226,negative,neutral,neutral
1551587137698631680,negative,negative,positive
1551551303217717253,negative,negative,negative
1551531203576168448,negative,neutral,positive
1551340495988822017,negative,positive,neutral
1551277361311653896,negative,neutral,positive
1551288931932844033,positive,negative,positive
1551282077756260352,negative,negative,negative
1551212587676729345,negative,negative,negative
1551280210007441408,positive,neutral,positive
1551277361311653896,negative,neutral,positive
1551258984560082944,negative,negative,negative
1551249189820063745,positive,neutral,positive
1551225079710744576,negative,negative,positive
