text,text_id,annotator_1,annotator_2,annotator_3,label_1,label_2,label_3
kina ruwa saadatu am,1371534411297067e3,8,13.0,10.0,NEUTRAL,NEGATIVE,NEGATIVE
wlh wlh an rainama talakawan nageria da wayau,1374295068769669e3,10,13.0,8.0,NEGATIVE,NEGATIVE,NEGATIVE
kunga suma mutanen kudanci yanzu zasu gane ana zama lafia ko baa yi,1377368394316533800,8,10.0,13.0,POSITIVE,NEUTRAL,NEGATIVE
gaskia ne malam,1378768051550687200,8,13.0,10.0,POSITIVE,POSITIVE,NEUTRAL
wannnan mutumin meyke nufi ne,1379565443766177800,10,8.0,,NEUTRAL,NEUTRAL,
lallai kudaden nan sun shiga aljihun da ake bukatar su shiga,1379751639171600400,8,10.0,,POSITIVE,NEUTRAL,
kina xuba kina kara farashii,1370693825929302e3,10,8.0,,NEUTRAL,NEUTRAL,
uwar yan dadi,1370310711474327600,8,13.0,10.0,POSITIVE,NEGATIVE,NEGATIVE
idan yaso ko yanxu neh maha ya ƙara mu dai fatan mu shine allah ya bamu abin siye,1370312841379610600,13,10.0,8.0,MIXED,POSITIVE,POSITIVE
ni yau to sauran watannin fa yakamata shima amana albishir ai ko,1370524211710718e3,8,10.0,,POSITIVE,NEUTRAL,
kenan mu jira sai a watan afirilu ko mayu kenan,1370317306459488300,10,8.0,,NEUTRAL,NEUTRAL,
yauwa daman zuwa next mon zanbar kasar,1370384252181811200,8,10.0,,NEUTRAL,NEUTRAL,
allah ya daidaita tsakanin,1370321127923454e3,10,8.0,,POSITIVE,POSITIVE,
ina sambo dasuki zo kaga wadanda suka daureka,1370342235531776e3,10,8.0,13.0,NEUTRAL,NEUTRAL,NEGATIVE
ana wata ga wata kudin makamai part,1370329321815019500,8,10.0,13.0,NEUTRAL,NEUTRAL,NEGATIVE
anci kudin makamai season two,1370383605097201700,10,8.0,13.0,NEUTRAL,NEUTRAL,NEGATIVE
allah kyauta tuggu ake ciki koh,1370423627615768600,10,8.0,13.0,POSITIVE,POSITIVE,NEGATIVE
dama sai dai yankin katsinan can bangaren,1370419465540804600,10,8.0,13.0,NEUTRAL,NEUTRAL,NEGATIVE
janaral garba garbati gwanin gyaran gwangwanin gwamnatin jihar gwangola ko akwai wanda zai iya fada mana sau da sauri shima ya kasa,1370430634355744800,10,8.0,,NEUTRAL,NEUTRAL,
