tweet_id,AgreedSentiment
1.44E+18,POSITIVE
1010815716629602e3,POSITIVE
1036234236221686e3,POSITIVE
1047490165630013e3,NEGATIVE
1059690374191563e3,NEUTRAL
1061108146154946e3,POSITIVE
1071786801256374e3,POSITIVE
1072504790809264e3,NEGATIVE
1086879579887858e3,NEUTRAL
1098814178775716e3,NEGATIVE
1111220615967638e3,NEUTRAL
1112339137573671e3,NEGATIVE
1132009787733029e3,NEUTRAL
1141765204801442e3,NEGATIVE
1144601723165716e3,NEGATIVE
1154458731331096e3,POSITIVE
1160944412375048e3,NEUTRAL
1167906087741247e3,NEUTRAL
1169505035002241e3,NEGATIVE
1171747074318057e3,POSITIVE
1172805214577078e3,NEGATIVE
1175694311167578e3,NEUTRAL
1197405649375826e3,POSITIVE
1199108146524049e3,POSITIVE
1203919757172527e3,NEGATIVE
1205548712824623e3,POSITIVE
1211628722278679e3,POSITIVE
1215524346917204e3,NEUTRAL
1215751284852232e3,NEGATIVE
1217825250748092e3,NEUTRAL
1227288104991646e3,NEUTRAL
1236674042083652e3,NEUTRAL
1250564304270692e3,NEUTRAL
1292887959528767e3,POSITIVE
1294282279586533e3,NEUTRAL
1296435849857556e3,POSITIVE
1302000480349049e3,POSITIVE
1307656777421525e3,POSITIVE
1308180222009897e3,NEUTRAL
1312038532047872e3,NEUTRAL
1312075528669667e3,NEUTRAL
1312706954859631e3,NEUTRAL
1318104290444087e3,NEGATIVE
1318532945720807e3,NEGATIVE
1322260551687426e3,NEUTRAL
1325176423066296e3,NEGATIVE
1325586364000243e3,NEGATIVE
1341307794910306e3,POSITIVE
1368856144006033e3,NEGATIVE
1371126067868619e3,NEUTRAL
1372166659092398e3,POSITIVE
1372349373733032e3,NEGATIVE
1387810031819706e3,POSITIVE
139499431938007e4,NEGATIVE
1449012296974545e3,NEUTRAL
145370343220077e4,NEGATIVE
680681967575285800,NEUTRAL
761314123724513300,POSITIVE
817450357198647300,NEGATIVE
875971478755442600,POSITIVE
988775803453427500,NEGATIVE
