text	label
@user @user @user @user @user @user @user Hhhhhh ntabyihogoza, ubu x abo yishe bangana ik	negative
@user Amahano?! Ni impanuka, inkangu, inzara.... Muyite izina rikwiye.	negative
Ese umuntu aguhaye miliyoni 7 zidorali ngo aryamane numugore wawe cg umukunzi wawe wabyemera🙄????	negative
Ugira amagambo😏 kandi Ubwo wasanga nawe byagutabara. Jya uvuga uziga😏 https://t.co/9OWOZxquFO	negative
Ukuntu inama zose zikomeye zirikubera Mu Rwanda ubanza numusi wimperuka uzabera kigali 🤔	negative
Very sad! Umwana w'Ukwezi 1 koko...😠, Nyamara izi nyagabirama ziba zifite uburwayi bwo mumutwe! Ntamuntu muzima wakora aya mahano❌ https://t.co/66O0C066PX	negative
@user @user @user @user @user @user Azajya kwiga aho babyemera muvandi ! Ntawamuzanye ku gahato natubahiriza amabwiriza azajya ahandi leta yashyizeho amashuri menshi	negative
Ariko igitsina gore mukurahe imbaraga zituma murira iyo hapfuye umuntu muziranye?	negative
Iminsi yo yimurekere, iramubona! Bitinde bitebuke, izamufatanya n'isi bimukarange. https://t.co/sUuZdtfSgF	negative
@user @user @user @user @user @user @user @user @user @user Ntabwo abeshya ahubwo ararembye Kuko imikorere nimivugire ye igaragaza uburwayi bufite ikigero cyamujyana i Ndera kwiberayo Ubuzima bwe bwose	negative
Mf iziko yasibye EP ya @user kuri YouTube nizibeshye go ikadagire muri kkblock😤😤 #seriously #Rwanda	negative
@user Ni akazi kawe nubunywa ugatwara breathalyzer ikagufata ntuzagire ngo akamaarimaari ntikakuburiye	negative
Nkubu @user nibiki mudukoreye Koko? Ibaze kuba twese dutegereje Ijambo UmukuruW'🇷🇼 agiye kugeza kubanyagihugu! Tukabona umuriro ngo baaa 🤔	negative
Ubaye urumukobwa, ufite million 7 munzu, umujura akinjira, akagusaba ko mwakora sex, Cg gutwara ayo amafaranga wahitamo iki?	negative
Bakwirwe imishwaro abicanyi bihishe mu Bufaransa n'ahandi! Ibigarasha n'amwe mubakurikire mudakoza ibirenge hasi!💪👊 https://t.co/54T1PaNBRO	negative
@user Birababaza kuba wa muntu wa nyuma ubwira ibyawe umukeneyeho ko aguhumuriza nabyo ukabibura	negative
Uyu mukobwa ari kuvuga ngo mubwire niba naramuciye inyuma kuri diane, ntabwo azi ko iby'isi aramabanga 🤣🤣	negative
@user nta hene ikura ngo ibe inka😂😂	negative
@user @user @user Wibukeko iyo umubyeyi atagira isoni zibyo akorera kukarubanda numwanawe ntabwo yamubuza kwiyandarika Abaruwanyina nyine	negative
Kubona aba followers hano bigoye kurusha uko wabona imbwa y umutuku cg amahoro muri rayon sport https://t.co/SkaB4BrxvZ	negative
