tweet	label
Kwani tanesco wanakataga umeme makusudinadhani kuna changamoto behind zinatakiwa zitatuliwe na sio kutoa matamko	negative
cjawahi kuona content yoyote zaidi ya kuwa analalamika cjawahi kuona akitafuta solution ya tattizo zaid ya kulalamikabasi tutakuwa na Rais wa ajabu huwa mwaka 2045	negative
Bomu lililokuwa limetegwa ndani ya gari likiwalenga wajenzi kutoka Uturuki limelipuka katika eneo la Afgoye kaskazini Magharibi mwa mji mkuu wa Mogadishu Somalia limeua watu wanne polisi wamesema	negative
Kuna video inasambaa mitandaoni jamaa amemfumania mkewe akiwa na jamaa mwingine huku akimlalamikia jamaa akimwambia kw	negative
Viwavijeshi wanapita katika hatua kuu 6 za ukuaji katika hatua yake ya larvae mayai 10001500 hutagwa na larvae mmoja kwa mwezi Hatua pekee inayowezesha kusambaa kwa viwa vijeshi ni kipepeo ambao huruka kwa makundi na wanaweza kuruka hadi kilometa 1500	negative
FamiliaNduguMarafiki wana hofu kubwa juu ya WatotoNdg zao walioko CHINAKulinda maisha ya watu na uhai ni kipaumbele	negative
Suala la miundombinu katika maeneo ya uchimbaji mdogo nchini iliyoulizwa kwenye imejibiwa kisiasa zai	negative
Klabu ya imemfukuza kocha wake sababu ikiwa ni kutokana na muendelezo wa matokeo mabovu ya klabu hiyo	negative
Waliomua kinyama mtoto wasakwa gt	negative
Mwenyekiti wa kijiji cha Kilombero 1 Wilayani Geita amejikuta akisusia kikao kilichoitishwa na Mkuu wa wilaya hiyo ambacho kilikuwa na lengo la kuleta suluhu baada ya wananchi kudaiwa kufunga ofisi ya kijiji kwa kile kilichoelezwa kuwa kuna ubadhirifu wa fedha 12	negative
Wananchi wa mtaa wa Nshinde Wilayani Geita wamelalamikia ubovu wa Barabara inayoelekea fadhili bucha na Mwatulole mkoani hapa kuwa kero kubwa kutokana na ubovu ambao umekuwa ukisababisha gari nyingi kukwama na kukosekana kwa baadhi ya huduma za usafiri 12	negative
wewe takataka sijui utakuwa liniSasa linichokufanya uvamie mkutano wa chadema leo ni kitu gani Hujaalikwa u	negative
s Day Msanii wa muziki nchini Tanzania ameendelea kuugulia maumivu ya kutokuwepo kwa Mzazi mwenzake Mchekeshaji Mrembo Boss Martha aliyefariki Septemba 12 2019	negative
