ID	before	label
Ig_train_00001	Bia ka ịmara na ndị mkpuke ùnu esokwa n'ife ana eme! We are profiling communities in Alaigbo and their #coronavirus intervention programmes. First, stop #Onitsha #Nduka #OnyeAghanaNwanneYa https://t.co/reHIzUUW3y	neutral
Ig_train_00002	NP Kpo Kpo Di Kpo @user #TrendingWednesday #VentingPage #NightCafe w/ @user	positive
Ig_train_00003	Nna Munachi Abii mmara nma mmadu hundred. Insane beauty.	neutral
Ig_train_00004	@user @user Afam ba gi onu eh 🙄	negative
Ig_train_00005	Reposted from bbcnewsigbo (get_regrann) - Ka anyị soro nụ zoroswagbag na #nkemowohosuofia yọrọtụ nwa egwu na mgbede ka ụwa na-aga💃💃💃💃💃 📷: zoroswagbag #bbcigbo #bbcnewsigbo #igbo #egwu #omenaala #Igboamaka #dance… https://t.co/864GAGZD1V	neutral
Ig_train_00006	Ndu chineke nyerem🤣🤣🤣 https://t.co/aEM67L0rOC	positive
Ig_train_00007	Otu a ka odi 👏👏👏 https://t.co/sXSb7clEBU	neutral
Ig_train_00008	Nna Ike Gwuru ooo. 😂 https://t.co/NDS7juFBGd	negative
Ig_train_00009	No Genevieve or Omotola, bia ogini mega here? 🙄 https://t.co/Gm2Tp4VI6O	neutral
Ig_train_00010	@user Chineke nna kezi mgbe ole???	negative
Ig_train_00011	NP 📻🔊🎧Onye Eze - @user @user 🔥 #morningdrivelagos #moremusicradio #Wednesday @user 💫 @user 💫 @user 💫 We 💞 🎶🎶🎶	positive
Ig_train_00012	@user Wats this? Onye ka nwa bu? 😂	neutral
Ig_train_00013	@user Onye bu Pastor🙄😪😪	neutral
Ig_train_00014	@user Umu nwanyi na emesi Ife Ike na eko	neutral
Ig_train_00015	Dalụ ezigbo mmadụ! 🙌🙌🙌 https://t.co/eEgrIznXfk	positive
Ig_train_00016	@user @user @user @user @user @user @user @user @user @user Nwanne ọ dịghị eazy ma na asị nọ azọ ta ndụ tu pu ekwube Ive afọ ga eri.....	neutral
Ig_train_00017	Umunna, Bikonu obulu na emwelu onye na aria oria mamilli n’ ebea.. Na enwero ike iztanwu machine oga eji na elele onwe ya ahu onye di otua gwam k’am nye ya machine aa... P:S Strip adiro n’ ime yaa... https://t.co/KaBWa6O6Tv	neutral
Ig_train_00018	@user @user Nne rapu Onye Isi mgbaka 😂	negative
Ig_train_00019	💨 egbunam oge #street @user Chukwuemeka Odumegwu Ojukwu University Uli https://t.co/HuqaWKCwIq	neutral
Ig_train_00020	@user good Afternoon Hugeman &amp; JJ Juventus gave Napoli ego aga enye onye ga e win Champions League 2016/17 maka Higuain? Egwu di	positive
Ig_train_00021	@user My manchi like forever Daalụ 🙏🙏👍👌💖. Ụbọchị ọnyem	positive
Ig_train_00022	Lol. Isi adirokwanu gi nma.. 😐😒😒😒 https://t.co/5gzmgYk6RW	negative
Ig_train_00023	@user haha. Fulani herdsmen. akpa amu gi retweet. Rie nsi 😝	negative
Ig_train_00024	#SenatorAbaribe Chukwuabiama gọzie gị 🙌 https://t.co/6loCV5pjU6	positive
Ig_train_00025	Nna ghetto di gi na aru biko!!! https://t.co/4G9bzI4uKG	negative
Ig_train_00026	@user @user @user Umu Israelite...ihe de Chukwu goziri agozi...we don't fail to succeed	positive
Ig_train_00027	Atụla egwu, amakwala jijiji, kwụdosie-ike nime ọnọdụ ọ bụla, n’ihi na Jehova bụ Chineke gị so gị n'aga. Ọ gaghị agbahapụ gị, Ọ gaghịkwa arapụ gị ma ọlị, Ọ gaghị ekwe kwa ka ihere me gị. Mmeri g'abụ nke gị na afa Jizọs Kraịst... 🙏🏾	positive
Ig_train_00028	@user @user @user Okwu obulu nri	neutral
Ig_train_00029	@user Ezigbo onye iberibe	negative
Ig_train_00030	Bukolaaaaaa. Love atogbuo gi https://t.co/5V0cMBFccq	positive
Ig_train_00031	Ọsọ ndị o we ndị,🤣🤣 https://t.co/34AiAkmXDv	neutral
Ig_train_00032	@user @user Bribe kwa... Onye ka' gi bu?.😌	neutral
Ig_train_00033	Nzogbu adighi Nwa Chineke https://t.co/ciR1W7OgZg	positive
Ig_train_00034	Egbe 🔫 gbatue ọsa🐿;ọsa🐿 wee si n'elu 👆 daa dakwasa Eke 🐍, Eke🐍 na ịgba ọsọ🏃‍♂️ ndụ ya na dinta ịgbara🔫 Eke 🐍 Debe na-ala.Eke 🐍 na anụ ndụ ọnwụ ☠ ma na-ebe 😭#AgwakwaraM #Osa🐿 ihe a #Agwa n'oge ; ọsa🐿 #egbukwaanu m 🙆‍♂️. #IgboTwitterCommunity #IgboInvasion. https://t.co/aLrWZXJxTa	neutral
Ig_train_00035	Thief!!!!! Ole!!! Barawo!!! Onye oshi!!!! https://t.co/PzG1OhDP5v	negative
Ig_train_00036	@user Chukwu gọzie gị 🙏 https://t.co/E69OJp2VEX	positive
Ig_train_00037	Kelechi nwa afo 🙌🏾 https://t.co/YVfqJOOShK	positive
Ig_train_00038	Chukwu nna! Afam ị gaghị egbu mmadụ na app a. https://t.co/sjaIvDTWYp	negative
Ig_train_00039	Igbo be anyi na e 'tlend' kwa kwa ozo di ka o si ada akpotu. @user mpa @user daalu nu rine!	positive
Ig_train_00040	O di mma. O ka mma ka a na eme ya n'obodo o bula... Okwu gi di mma https://t.co/dzOCmgO3XY	positive
Ig_train_00041	@user Or ma agbalie gi elu🙄	negative
Ig_train_00042	LUBREX Maka odi ma ugbo ala gi 🙏🙏🙏 https://t.co/HjjFJ5rgDq https://t.co/Z7H85DnZWC	neutral
Ig_train_00043	Òtítọ́ dịrị Olisa nà onyinye ndụ na arụ sịrị ke. Igbo wee mmadụ udo dịrị anyị ncha #IgboTwitterCommunity #IgboAmaka	positive
Ig_train_00044	@user O dikwa egwu😂😂😂😂	negative
Ig_train_00045	@user @user @user @user @user @user @user @user @user Éewu Mgbe ọzọ	negative
Ig_train_00046	@user @user Ima akwukwo nna.. Ukwu nwelu nti eji anu ife	neutral
Ig_train_00047	@user Lmao Awka na ebi ajo ndu	negative
Ig_train_00048	Oya chetam ugbua ugbua!""@user: Onye rie ya chetakwa nwanne ya""	neutral
Ig_train_00049	@user Nne mba nu, ana ahu oka na filling station	neutral
