tweet_id,AgreedSentiment
1.10E+18,NEGATIVE
1.19E+18,NEGATIVE
1014543297212244e3,NEUTRAL
1014557971840471e3,NEUTRAL
1023680732286345200,NEGATIVE
1029728228775284600,NEGATIVE
1034352635078496300,NEUTRAL
1039910130509336600,NEUTRAL
1040514103574503400,POSITIVE
106193525045504e4,NEGATIVE
1072817569508266e3,NEUTRAL
1085577568957448200,NEUTRAL
1126108479628939400,NEUTRAL
1150491239248085e3,POSITIVE
1151537643651588100,NEUTRAL
1159937027925848e3,POSITIVE
1167321637672214500,NEGATIVE
1168471976991764500,NEGATIVE
1179291018761519e3,POSITIVE
1181333005262037e3,NEUTRAL
1192021171522412500,NEGATIVE
1202526744542097400,NEGATIVE
1212795765581631500,NEGATIVE
1224331750219841500,NEGATIVE
1224336940624945200,POSITIVE
1229833660477649e3,NEGATIVE
1240327961028505600,NEUTRAL
1243787922400333800,POSITIVE
1248334853009035300,NEGATIVE
1251058467223351300,NEUTRAL
1278971825050042400,POSITIVE
1285141137565659100,POSITIVE
1285454462228693e3,POSITIVE
1292753416905789400,POSITIVE
1298857947251044400,POSITIVE
1304290681465319400,POSITIVE
1311191840742408200,NEGATIVE
1321784116753301500,POSITIVE
1329099517405356e3,POSITIVE
1342749955929366500,POSITIVE
1369764601101975600,NEGATIVE
1389467378229162e3,NEGATIVE
139438362662477e4,POSITIVE
1399563974018994200,POSITIVE
1415315683219579e3,POSITIVE
857264561279434800,NEUTRAL
880180043191914500,NEUTRAL
890861719597273100,NEGATIVE
890903772691615700,POSITIVE
899149286109311e3,NEUTRAL
906411833707429900,NEUTRAL
914894571292766200,NEUTRAL
921072388867051500,NEUTRAL
936146109357051900,NEGATIVE
942188109852217300,NEUTRAL
946080467136254e3,POSITIVE
965997923153645600,NEUTRAL
975261823732559900,NEGATIVE
987621588316155900,POSITIVE
993594824480776200,NEGATIVE
999694491312443400,NEUTRAL
