ID	before	label
hau_train_00001	@user Waye minlitan ilimi kuma? 🤔🤔	neutral
hau_train_00002	@user Innalillahi wa'ina ilaihim raji'u 😭😭😭😭 Ya Allah kana ganin halin da muke ciki Ya Allah kawo mana dauki Amma wllh Allah shugaban nin kasar mu hakkine a kanku wllh Kuma karku manta Allah yabaku shugaban cine badan kuyi abuda kuke soba aaa Allah y Baku ne dn al'uma	positive
hau_train_00003	@user Da kudin da Arewa babu wani abin azo agani da yayi wa alummah allah ya isa yacucemu wlh yarikitamana kasa yarikitamana kasuwanci harkar ilimi harkar lfy hanyoyi babu lantarki dasuransu komai yalalace ga cinhanci da rashawa a fili ko ina a Nigeria jamiyaryar su tabataman mlm 😭🗣	negative
hau_train_00004	@user @user @user 🔥🔥har gobe ruwa na maganin dauda gaskia umar sarki ne	positive
hau_train_00005	@user Aradu ya dauki kashedi🤣	neutral
hau_train_00006	@user Kaga wani Adu ar Banda💔😭 wai a haka Shi ne shugaban sojoji.... Gaskiya Buhari kaci Amanan mu da kasa wannan mutum ah wajen nan	negative
hau_train_00007	@user Tab wannan kungiya batayi ba mukam aljihunmu abude yake hadi da hannunmu hannunmu a bude yake🖑🖐🖐bama dunquli hannu✊✊✊	neutral
hau_train_00008	@user Sai haquri fa yan madrid daman kunce champion din ya muku yawa😂	negative
hau_train_00009	@user Mun raba jaha a nan kuma🙄🙄	neutral
hau_train_00010	@user ya allah kakawou karchan kafrici damak kafire duniya ya rabih 😭😭😭amin	negative
hau_train_00011	@user Su gobara Manyah!😂	neutral
hau_train_00012	@user @user gata wajenka da duminta wollah🔥	neutral
hau_train_00013	@user Hmmm yanzu kai kasan girman allah daxakace mukuma ga Allah kune kukabarshi kuna karyata ayoyinsa kace allah baya karbar adduar talakan nigeria 🇳🇬 bayan kunzalunceshi kuma allah ya karbar adduar wanda aka zalunta cikin sauri amma kace wai Allah baya karbar addua talakawa	negative
hau_train_00014	@user @user Wai gwamno nin Nigeria suna afa kwayoyi ko 😂	negative
hau_train_00015	@user Tooom ina masu show up a A B U se a saurara in ankoma ni baby nokia ma xannema second hand insiya🙄🙄🙄🙄	neutral
hau_train_00016	@user Hukuncin da ya Kama ta ake yi a Nigeria kenan, yin hakan zai kawo saukin wannan masifa😏	positive
hau_train_00017	@user Gyada me sihri abare aga biyu a murza aga hudu atauna aji dan Karen dadi😀😀	positive
hau_train_00018	@user To Ku nemawa talakkawa mafita mana, Magamar banza ko hare hare anka kawo waye sukafi shafa ba talakka ba? Kumfi uban kowa kuka da matsaloli amma baku damuda wadanda suke shafaba, Nan tsohon gwamnan Zamfara yacce sulhu da 'yan bindiga ba shine mafitaba To mi shika nuhi? Mits....😭	negative
hau_train_00019	@user Jazakallahu khair Allah ya sa mun dache dachewansa ya kawo mana zaman lafiya a kasanmu Nigeria 🇳🇬 Amin yah hayyu ya qayyum	positive
hau_train_00020	@user 😂😂😂kadai fito fili ba sai ka fake da kungiyo yi ba, na Gwaggo	neutral
hau_train_00021	@user Inaa bayan Alinuhu EDUCATION is better than MONEY 😆🙄	positive
hau_train_00022	@user Wato mutanen ma an koma fasa kwaurin su ke nan kamar wata shinkafa?😂	negative
hau_train_00023	@user Gaskiya da kamar wuya😂	neutral
hau_train_00024	@user Toh ai iyayannaki mah basusan darajan musulinchi ba tun da sukabar ki kinayin halin kafurchi ai bakiyi dana saneba tukun nama😡😡😡	negative
hau_train_00025	@user To mutum nawa akayi arrest bayan ansar daliban..... 👌	neutral
hau_train_00026	@user Tana ga mai 'Kwanji 💪	neutral
hau_train_00027	@user 🤣🤣🤣🤣to dama waxai zabeka nn gaba	neutral
hau_train_00028	@user @user @user Mathematics akace fa ba dancing ba 😜😂	neutral
hau_train_00029	@user 🤣😜🤣😜Shirin ku ya rushe akan Afrika kenan 👌	negative
hau_train_00030	@user Gaskiya da anayi a hk a Nigeria 🇳🇬 Matasa da kyanmata da anachikin yimusu bulalane kullun wlhi	negative
hau_train_00031	@user Masha Allah. Allah ya taimaki yan baya. 🙏	positive
hau_train_00032	@user @user Allah sarki😭😭 Allah ya kara mana lafiya da zaman lafiya kuma ya yaye mana dukkan damuwan mu ameeen🙏🙏🙏	positive
hau_train_00033	@user Rarara kai dabanne wallah indai a fannin wakar siyasa ne, basirarka ta daban ce.... 😂 #dodontsula 😝	negative
hau_train_00034	@user @user Inna lillahi wa Inna ilahi rajioon. Allah ya jikanshi da gafara. Ameen ya Rabb 🤲 👏 👏	positive
hau_train_00035	@user Ai shiyasa naga shi kansa dan rainin wayon yana zama a qasar tasa ana dubashi. May be fa a Jordan din dayace yayi wannan kalaman tunda yasaba qanqantar damu a idon duniya😣😣	negative
hau_train_00036	@user Gaskiya Rahama kinci lfy kinga yadda kike sake zama wata buleliya masha Allah and pls DM me with your number I have something to say 😂😂😂	positive
hau_train_00037	@user @user Sannan zata ci gaba da kula Mahmud koda yafi kamaye talauci 😅😅 Wannan batu nata yayi amma jiki magayi 🤨ni nayi nan 🏃🏃	negative
hau_train_00038	@user Kowa ya kama gabanshi 🏃‍♂️	neutral
hau_train_00039	@user Gaskiya yafada munga cigaba yanzu 🤩🤩	positive
hau_train_00040	@user Wannan gaskiya ne Big Bro 😁	positive
hau_train_00041	@user Burina yacika kamaye yakamu 👍ALHAJI mala yasamu adalce	positive
hau_train_00042	@user Zai gan Dakyau shi ma!🙏👊	neutral
hau_train_00043	@user Chan ta matse musu. Damuwata masallatai da aka rufe ne 😭😭	negative
hau_train_00044	@user Neman halal dawuya yake banga laipin kaba Baba suma masu kawo mana neman arziki sukewa kasar su muma mu dage muyi noma mu nemawa kasar mu arziki kamar yadda sukeyi, @user kowa yaja dakai sai yaji ajikinsa 😂	positive
hau_train_00045	@user Allah yabaki miji nagari kiyi auren ki 👌👌	positive
hau_train_00046	@user @user saura larabci?? Muga koh anada ilimi 📚	neutral
hau_train_00047	@user wallahi kincuce mu musulmai, Dan bana farko kenan ba, Hargashe ta kawo suka ga shugaban mu 😥	negative
hau_train_00048	@user Allah Yaji qansa da rahama😭😭. Amma mai yasa baba buhari bai bisu ba	positive
hau_train_00049	@user Allah ya yi muku jagora.. a gashe da Sarki Muhammadu Sanusi na biyu ✊🏿	positive
hau_train_00050	@user Mutanan Nigeria 🇳🇬 suna Allah wadai da tafiyar ka kasar waje, ya kamata katsaya asibitin gida adubaka indai Kai mai-kishin chigaban kasane😇	negative
hau_train_00051	@user Allahu Akbar 😭 Allaah yajikan mata!🙏🏼 Gaskiya, ba karamin taimako kikayi mana ba, Allaah dai yasaka miki da gidan aljannah.🙏🏼😩 Mungode kwaraiii	positive
hau_train_00052	@user @user Long live zuluminization 💪🏻💪🏻💪🏻	positive
hau_train_00053	@user Duniyar ka a hannun ka😎😎	neutral
hau_train_00054	@user @user Lallai kam director😂😂😂	neutral
hau_train_00055	@user Lmao 😂😂😂 Naji dadin wannan headline din bbc 👏🏻😂	positive
hau_train_00056	@user @user @user Allah yasa mafarki SUMAYYA take🤲	positive
hau_train_00057	@user Looking beautiful Rahma, for your information guy's Wallahi I guarantee you Wallahi who ever say something wrong about Rahma again we will just say Allah ya isa, Da Buro'uba ku wayasan me kukeyi a gefe? Allah Shi Toni asirinku FOOLS. 😡 back to school.🖕	positive
hau_train_00058	@user @user Gobe sai wani yayi😂	neutral
hau_train_00059	@user @user @user watch this and see dan Malam a cikin bidiyon 😂😂	neutral
hau_train_00060	@user Abincin kwado baeya hawa sama🙄🙄	neutral
hau_train_00061	@user Almajiri is also child. Thanks Hajiya @user 👍	positive
hau_train_00062	@user Bamuyi siyasace koma tanazuwa gareko😛	neutral
hau_train_00063	@user Allah Ya kyauta. An bar al umma cikin masifar talauchi da tashin hankali. Allah Ya sakawa masu hakki. Ya kamata kamar yadda ake a sauran kasashen duniya da suka ci gaba, shugabanni su dai na daukar dukiyar al umma da aka basu amana kamar tasu. 😭😭😭😭	positive
