tweet_id,AgreedSentiment
1.00E+18,NEGATIVE
1000712048152588300,NEUTRAL
1000776515167162400,POSITIVE
1000903988097757200,POSITIVE
1001125633043333100,POSITIVE
1001127233141067800,POSITIVE
1001349285152280600,NEUTRAL
1001517407775674400,POSITIVE
1001558560705253400,NEGATIVE
1001681352725549e3,POSITIVE
1002259391293329400,NEGATIVE
1002754486228615200,POSITIVE
1002767182449774600,POSITIVE
1002772427028467700,POSITIVE
1002983860517457900,NEGATIVE
1003106270881120300,POSITIVE
1003394014912053100,POSITIVE
1003438523989528600,POSITIVE
1003783974664179700,NEGATIVE
1004064546997309400,POSITIVE
1004108542817849300,POSITIVE
1004129532163608600,NEGATIVE
1004132178119315500,NEGATIVE
1004137324941381600,NEGATIVE
1004650218938388500,POSITIVE
1005388436424085500,POSITIVE
1005393095926669300,POSITIVE
1005635294962618400,NEGATIVE
1006242097551331300,NEGATIVE
1007238233573470200,NEUTRAL
1007944510419144700,NEGATIVE
1008085889464102900,NEGATIVE
1009065013850595300,NEGATIVE
1009282210720112600,NEGATIVE
1009469065516257300,NEGATIVE
1011563242748031e3,NEGATIVE
1011677264222834700,NEGATIVE
1011692373573816300,NEGATIVE
1011947943048417300,NEGATIVE
1013089689945952300,NEUTRAL
1013098533275291500,NEGATIVE
1013536540151156600,NEUTRAL
1013682240180641800,NEUTRAL
1013697618768285700,NEGATIVE
1014075289821999100,NEUTRAL
1014378622428287e3,NEUTRAL
1016633997110235e3,NEUTRAL
1016861992462757900,NEUTRAL
1018227027151814700,NEUTRAL
1019164001312354300,NEUTRAL
1019640501442695200,POSITIVE
1021314705049243500,NEUTRAL
1022987522664747e3,NEUTRAL
1034337324568637400,POSITIVE
1035634823354871800,NEUTRAL
1035957723014332400,NEUTRAL
1047217393309798400,NEUTRAL
1076174955581268e3,POSITIVE
1088153600839303200,NEUTRAL
1090182222001422200,NEUTRAL
1090660109381001200,NEUTRAL
