ID	tweet	label
ma_train_00001	hhhhhhhhhhhhhhhhhhhhhh ana ga3ma sma3tt ach kant kat9oll kanrakazz ghir m3a zineb oyassmin ochirine	neutral
ma_train_00002	hhhh hardart jomhorha la fi3lan kadahko lach mrakzin m3aha ama kayn bin li kaydir dakchi 3alanan ou li khbit bhal bohila	neutral
ma_train_00003	: أتفهم العثماني وأتفهم الجدل الشعبي. الحل: حان وقت تنزيل شامل للجهوية المتقدمة وتحمل المتخبين الجهوين لكامل صلاحياتهم لشرح تفا…	neutral
ma_train_00004	كان افظل حاكم عربي'	positive
ma_train_00005	ماريانو راخوي : خاص المغرب واسبانيا يشرحو للرأي العام وجميع المتدخلين بوضوح تفاصيل الاتفاق اللي توصلو ليه,	neutral
ma_train_00006	كيف سمحت لك نفسك ان تقارن اردوغان بالحمار بنكيران للتذكير انا #ممصوتش	negative
ma_train_00007	مليلية.. رئيس حزب “بوكس” الإسباني اللي كيعادي بلادنا: تأجيل زيارة وزير الخارجية للرباط كييبن بللي المغرب هو المتحكم فكلشي وكيطالب حكومة مدريد تبقى سادة الحدود بين البلدين,	neutral
ma_train_00008	dakchi alach hamdoulah mereta7 et en bonne santé 😂	positive
ma_train_00009	تحياتي أستاذة منيب	positive
ma_train_00010	ولا انا متحزب ولكن حزب العدالة """""""" بنكيران"""""""" أخبت خلق الله	negative
ma_train_00011	غير التحت ، الفوق لا 😂	neutral
ma_train_00012	ترح و ترجع بالسلام ياحبيبي'	positive
ma_train_00013	اول فنان مغربي عربي تصل اغنيته ل خمسة مئة مليون مشاهدة على يوتيوب'	positive
ma_train_00014	ها أول تعليق رسمي من خارجية الصبليون على اكتشاف احتياطات نفطية كبيرة فسواحل أگادير,	neutral
ma_train_00015	wlah matfro insana tafha ma3ndha hta hadaf f hyatha bghat ghir nas igolo 3liha zwina tfoo	negative
ma_train_00016	الله أكبر والعزة لله الله يحميكم وينصركم'	positive
ma_train_00017	السياحة مقابل البيتكوين، فعلا فكرة رائعة و غير مسبوقة. و إشهار مجاني للسياحة بالمغرب كما أشار المقال. أتمنى أن يتدارك المغرب الموقف و يلتحق بالركب. ارحموا هذا البلد السعيد.'	positive
ma_train_00018	مجموعة طاليس العالمية حلات مركز عملياتي للأمن السيبيراني فالمغرب,	neutral
ma_train_00019	هذشى كاين الاغلبية ديال الشعب  عارف الله  غالب	negative
ma_train_00020	conane likid3ambety o abdsalam dar bareh hamla 9alek hejmo 3la had siyed bach ibtissam t9dar dir 3ando aflam	negative
ma_train_00021	تقرير: مفاوضات إسرائيلية تركية سرية ناقشو فيها يدار أنبوب غاز مشترك لتزويد اوروبا,	neutral
ma_train_00022	machi darori tkhayel m3aya bnek de 5 ans chiyar chi lo3ba jatek nel 3aynina dabezti m3a jara konti kharja men bab we weld l7awma tira fe ballon jak nel 3aynina mohim tzer9atlek l3aynina we sab7a khadama had make up tutorial ye9dar ynef3ek	negative
ma_train_00023	الحكومة عطات هدايا جديدة للمقاولات الوطنية لي كتشد الصفقات العمومية..منها تمديد آجال الأشغال واسترجاع الضمانات وفسخ الكونطرا وديا,	neutral
ma_train_00024	ان لله وان اليه راجعون ولا حول ولاقوة الابالله العلي العظيم'	negative
ma_train_00025	الدكتور التازي واللي معاه تابعوهم بتهمة “الاتجار فالبشر”.. والقضية عندهم حامضة بزاف,	neutral
ma_train_00026	تبارك الله على سي حكيمي بالتوفيق'	positive
ma_train_00027	شكرا على المجهودات ....اتمنى لو كانت الترجمة'	positive
ma_train_00028	hna kanmoto 3lik kifma nti b9ay m3a rafa wakha kaytkhasem m3ak rah 3ziza 3lih hna likanchofo kolchi slm	positive
ma_train_00029	خاص. تفاصيل صادمة على جريمة اغتصاب تلميذة قاصرة من طرف أستاذ ففاس,	neutral
ma_train_00030	لاينبغي لصحفي يحترم نفسه ويحترم مهنته ان يطرح مثل هذا السؤال'	negative
ma_train_00031	شكرًا لكم بزاف .. قريت جميع التعاليق و أسعدني تفاعلكم ♥️ أسعدكم الله 🌸﻿'	positive
ma_train_00032	انا متافقة معاك امين جطيوي ماتبدل صاحبك غي ما كرف هاحنا غادي نشوفو هاد الحكومة اش غادي دير	positive
ma_train_00033	و أسكنه فسيــــح جناتــــــــه، إن لله و إن إليــه راجعــون'	negative
