tweet	label
Nna Ike Gwuru ooo. 😂 https://t.co/NDS7juFBGd	negative
@user Chineke nna kezi mgbe ole???	negative
Lol. Isi adirokwanu gi nma.. 😐😒😒😒 https://t.co/5gzmgYk6RW	negative
@user haha. Fulani herdsmen. akpa amu gi retweet. Rie nsi 😝	negative
Nna ghetto di gi na aru biko!!! https://t.co/4G9bzI4uKG	negative
@user Ezigbo onye iberibe	negative
Thief!!!!! Ole!!! Barawo!!! Onye oshi!!!! https://t.co/PzG1OhDP5v	negative
Chukwu nna! Afam ị gaghị egbu mmadụ na app a. https://t.co/sjaIvDTWYp	negative
@user Or ma agbalie gi elu🙄	negative
@user O dikwa egwu😂😂😂😂	negative
@user Lmao Awka na ebi ajo ndu	negative
@user Nna ehh, ụfọdụ ụmụ nwoke dara iberibe 🤦🏽‍♂️	negative
@user Rapụ ndị nzuzu	negative
Taa!! Nnaa, gaa zuru ike. https://t.co/izWxsFTOc0	negative
Nobody ugly oooo Obu ego na akpari mmadu https://t.co/GdSQUyJZkF	negative
@user @user @user @user @user @user @user @user @user @user @user Rijuo nsi onu dia... Nkea abuluzia gini.. Alako kwana muna chairmo ooh before kitikpa agbasa gi isi	negative
Negodu mama mmadu 🤦‍♂️ https://t.co/gl9WFQQclZ	negative
@user @user @user Nsogbu dị kwa.... Ife corona na cause... 😩😩	negative
@user Zuzuru Getaway from here... Onye nkogheri...	negative
@user @user 🤣 🤣 🤣.. Agwọ Sia onye ala, ọ gaghị ahapụ ntamu..	negative
@user @user Thunder fire onu gi ji ekwu ụdịrị ihe a	negative
@user @user 😂😂😂😂😂😂 I di sure na the okiri agbawabero ya isi	negative
I bu onye nzuzu! 🤦🏾‍♀️ https://t.co/tuihPOz2Ae	negative
@user O siri nke ozo na beer adiro ya mma na aru	negative
@user @user 😂 😂 ya ehh, m nweta gị...	negative
@user Maka Chi. Na ochichi Buhari a? Ka mmadụ na-eje eyi udi akwa ahụ 😂🤣	negative
I na atupuru ndi nzuzu onu https://t.co/CsYL26qUIB	negative
@user @user Nzuzu ya di few mush!	negative
@user aunty mi, e ne we iwe oku oh	negative
@user @user Ị na ańaa ifeanyi ọnụ ọjọọ nti	negative
@user @user biko dutelu anyi mmadu from mgbago inu😂	negative
@user Haha. Ele gini? Nwanyi, Kedu ubosi e subakwa imo? 😒	negative
@user Ike guru m o	negative
@user @user Nsogbu digodi next season for Arsenal😂	negative
@user Guy idikwanu ajoo Wicked😆😆😆😆 Afa ehhhhh.... Egwu dikwa	negative
@user Ọ bụghị asị... Mana ole n'ime ha ka isi dị mma??	negative
Ezigbo Nonsense lmao https://t.co/rxHBrc4jtJ	negative
@user Mechie onu osiso. Iti boli bor	negative
Kilikpa lacha gi anya ebe-ahu idiot	negative
@user @user @user @user Oge ahu gbuo gi dia.. Esi beegi eje bee onye kwanu..	negative
Chineke nna ekwekwala ihe ọjọọ https://t.co/hEGxXeXEnC	negative
@user @user As in ehn. Ndi mmadu enwero zi Obi ebele. 😂	negative
Luiz efulefu mmadu	negative
Ndị ala ndi ala Lele lekwa ha https://t.co/ChVN2EX35Q	negative
@user O di na iwu mana aga azota ana wee zoba ute, Onowu. Kee mgbe ana akpo anyi oku?	negative
@user Don't oo Maka ndu gi😂😂😂😂😂😂	negative
@user Ndi mbaise na enyekari nsogbu 😂	negative
@user @user 😂😂😂 Osi no privacy. This my Awka-Etiti sister ina enye Nsogbu ooo 😫😫	negative
E be Mbaise road di otuh, kedu ka Umuahia GA di🤔 👀👀 https://t.co/moNw0lmHd2	negative
@user @user @user Ibu ezigbo okpo 3buka 🤣	negative
@user Ibu onye ara, anuofia, allika, nkiita ara, eezi, aakuodu	negative
@user Ike gwuru ndi ochichi anyi	negative
@user @user Thunder nke sị na Abaa okwia😛😛😛	negative
@user Ezigbo Prof ndi ala, lol IK ... ☹️	negative
@user Chucks de chef. Afọ asakwana nwoke mmadu🤣🤣🤣	negative
You see umuada? Ndi a bu ndi akpo oh! 😭 https://t.co/brk1e5qBSP	negative
@user @user Akuko aburo obele ya. 🤦🏼‍♀️	negative
@user A gwasịa m gị 🙈	negative
@user 😂😂😂🤣 Isim hudo ya ama kwa... Nna eeh.. Once mmili malu kpam na ala uzo etiwa abuo maka chii... Haa jidelu uzo dibu obelle nma kpuchasia unto say faa ga etelu anyi ya since 2018 ooh.. Erosion welu nwayo na acho ka ojide uzo mebisia	negative
@user @user @user Nne, jide nke I ji. Ifunanya mu nwere n'ebe I no na-afu afu ka gari oñuru 😀	negative
bitch emetụla ego m aka. Achọghị m nsogbu	negative
Mechie onu biko https://t.co/xbwypM9ZfU	negative
Nsogbu di kwa. https://t.co/VOg1D5j0tD	negative
@user @user Men na ewe iwe okwu.	negative
Aso mmiri ebe nile. Hian. https://t.co/eyhcpzCha9	negative
@user Onye ofe mmanu😒	negative
@user @user Ina atupuru onye ahu onu	negative
Odika ezigbo ala ji onye nzuzuaa aka!😒😒😒 Mtchewwwww	negative
@user Obi mmadụ ga justu gbáwá!	negative
@user Aka akpaghi ha n'oge a, otu ụbọchị aka ekwensu akpara ha n'otu n'otu.	negative
