text,text_id,annotator_1,annotator_2,annotator_3,label_1,label_2,label_3
"@Lama_r__ Nta muntu wo kwizerwa 100% ubaho. Gusa ariko ku gutenguhana, abagabo ni aba mbere?",1450467192768770053,70,71,69.0,INDETERMINATE,NEGATIVE,NEGATIVE
@Akanyange_kera Ndumva nagukoma😭 nibutse ibi😂,1396399694373343232,70,69,71.0,POSITIVE,NEGATIVE,NEGATIVE
@JolieIrene1 Reba icyana hasi sha nkujyane nawe x,1427224663512567814,70,71,69.0,NEUTRAL,NEGATIVE,NEGATIVE
@SNtirus Najyaga mbyandika nabi. Inshuti ya Uwizeye,1369543413763354625,69,71,70.0,MIXED,NEUTRAL,NEUTRAL
@nyangezi_ Nga principe yuko ngo kugira ubwenge atari itegeko daaa😂😂,1497199952740683779,70,71,69.0,INDETERMINATE,NEGATIVE,NEGATIVE
Ikintu cya mbere ni amakuru. Abanyamakuru mwese ndabakeje! https://t.co/ushplUVOaU,1389266856670908419,69,71,70.0,POSITIVE,NEUTRAL,NEUTRAL
@westr0bert @RwandaHealth Uraba winaniriza ubusa n'undi guma mu rugo irakomeza,1419172610223616002,69,71,70.0,NEUTRAL,NEUTRAL,NEGATIVE
"@R_selekta Yes. Mbabarira Sha, ubu se iyi nda nayishyira hanze?? 😂",1450386006427975683,71,69,70.0,MIXED,NEGATIVE,NEGATIVE
@Ngabo_Karegeya Hamwe na 4G uzayireba mu nguni zose z'isi.,1497949658760495106,69,71,70.0,POSITIVE,NEUTRAL,NEUTRAL
"@AdrienUWIZEYIM1 @TUYISHI04126210 Ntabwo mbizi , ariko akenshi umuntu abyuka azinze umunya , uko umunsi ukura akagenda yishima . Ahagana saa saba uraba utangiye guseka .",1550405966587482113,69,71,70.0,POSITIVE,NEUTRAL,NEGATIVE
Burya ngo Ikintu Cya Mbere Ni Amakuru. Uyu mugoroba tubane mu makuru ya @Radiorwanda_RBA. #RBAHafiYawe https://t.co/P0CNImtAUJ,1479837236619362306,70,69,71.0,POSITIVE,POSITIVE,NEUTRAL
"@i_Birere Iririre wowe sha, aba December ubwo se barira bakazazaceka?",1434872836674494468,70,71,69.0,NEGATIVE,NEGATIVE,NEGATIVE
Dore igisobanuro cy’uburanga! genda #Rwanda urafise kweli! Photo from @Patycope #RwOT https://t.co/9SGfkChy6w,1371429471060951041,71,70,69.0,POSITIVE,POSITIVE,POSITIVE
@altynn17 Namubonye arira weee nho yabuze 4ne ko nabonye arira amaraso weee,1416684237663739904,70,71,69.0,NEUTRAL,NEGATIVE,NEGATIVE
@NyirarukundoMa6 Aho bukera nayo iribwurire kbc,1499819645334958092,70,69,71.0,NEUTRAL,NEUTRAL,NEUTRAL
"Yezu arebye imiruho wiriwemo ugashya muri iyi nyanja y'ibibazo maze arakubwira ati ""humura ni njye"". Yohani 6 : 20. Tumwizere.",1520161395576291331,70,69,71.0,POSITIVE,POSITIVE,NEUTRAL
@ObedKayitare @RIB_Rw Oya. Igihano cy'urupfu cyaciwe mu Rwanda muri 2007.,1432858150894440449,69,70,71.0,NEUTRAL,NEUTRAL,NEGATIVE
@joselyinechap Urakoze cyane nawe umunsi mwiza 🥰,1544935123740680193,71,69,70.0,POSITIVE,POSITIVE,POSITIVE
@KingLovetv Umva yee😂😂😂washakaga ngo nkore ku matwi se,1552184842225438721,70,71,69.0,NEUTRAL,NEGATIVE,NEGATIVE
@Rene__TY Biriya byose ni ibihuha dore nkumbuye za nyama zawe 😌,1530503575297830912,71,69,70.0,POSITIVE,POSITIVE,POSITIVE
@Kwizera18305184 Cyane. Ntiwaba wambaye ubusa ngo urambika umuturanyi,1431827674134204416,70,71,69.0,POSITIVE,NEGATIVE,NEGATIVE
Menya ubutwari bw'abatangije urugamba rwo #kubohora u Rwan da... https://t.co/AfMkwylgei,1444018229387612164,69,71,70.0,POSITIVE,NEUTRAL,NEUTRAL
@tanah_ancillah Ikibazo cyo kumva arko😥🥺,1421846359091646468,71,70,69.0,NEUTRAL,NEGATIVE,NEGATIVE
@paul_rukesha @ClaudeKarangwa Eeeh Imana izagutwika ku munsi w'imperuka pe,1431864457953742850,70,71,69.0,NEUTRAL,NEGATIVE,NEGATIVE
@Egide57017466 @RGisanintwari Wirengagije ko hari mushiki wawe wafunzwe kubera gusinda muruhame ?,1503139632879480842,70,69,71.0,INDETERMINATE,NEGATIVE,NEGATIVE
Nyamara kadufashaga umuyaga wo kuri moto 😂,1525241521343176705,69,70,71.0,POSITIVE,POSITIVE,NEUTRAL
@IGIHE Ese ikibazo ni inda baterwa cg ni ubusambanyi n'uburaya?,1521046738219503616,70,71,69.0,POSITIVE,NEGATIVE,NEGATIVE
@Afazar1 Nukuri... Gusa imyumvire birasaba ko ihinduka,1501474369863827457,69,71,70.0,POSITIVE,NEUTRAL,NEUTRAL
@princenshiz Igihe ni kigera bizagenda gute?,1349221544673894400,70,69,71.0,POSITIVE,NEUTRAL,NEUTRAL
@wa_karenzi Cyane cyane cyane uzaze wumve 🤣🤣,1348222399314096130,70,69,71.0,POSITIVE,POSITIVE,NEUTRAL
Buriya se? Ko ndi umwana mwiza cyane ra? https://t.co/xs7PMpsYwv https://t.co/Dt8emjRQv7,1361769290152706057,71,70,69.0,NEUTRAL,NEUTRAL,NEUTRAL
@eLHAMiiD @MrsBe9 @ibarushimpuhwek @MusanzeDistrict @gatjmv @NyirarugeroD @oswaki @NsangaSylvie @Annemwiza @sosodidos777 Chn nukuri woweho ndabona ufite imitekerereze iri poor kbx Abahe bandi x erura ubavugeee,1513912045976047625,70,69,71.0,POSITIVE,NEGATIVE,NEGATIVE
Ntamutsi uba ubore nkumunsi wo kucyumweru uba ubushye kok 😭,1538556874710302720,71,70,69.0,NEUTRAL,INDETERMINATE,NEGATIVE
🚨AMAKURU MASHYA🚨 Ange Kagame yibarutse umwana wa kabiri. https://t.co/0geuHayPk6,1549737927789379584,70,69,71.0,POSITIVE,POSITIVE,NEUTRAL
@MTNRwanda @MTNRwanda nyamara iki kibazo kirabareba Nubwo mukirengagiza,1359831926979375104,70,71,69.0,NEUTRAL,NEGATIVE,NEGATIVE
@Rutambii Ubutumire bwawe ko burimo iterabwoba 😊 gusa nzaza.,1427932101031104515,69,70,71.0,MIXED,MIXED,MIXED
Ese namwe ntanigitonyanga cyamazi mufite cg ni kumuhima gusa amazi adaheruka? @wasac_rwanda #RwOT,1466363419800526848,71,70,69.0,NEUTRAL,NEUTRAL,NEGATIVE
"Niba wumva ko bf atazi Maths, uzambwire ngo ""Bae, I'm pregnant"" 😂",1377945526566551554,71,69,70.0,NEGATIVE,NEGATIVE,NEGATIVE
@KanyamuhandaLo1 @oswaki None se mu by'ukuri ako gasuzuguro kabo n'ubwo kaba gahari wowe uri mu Rwanda kagutwaye iki???,1492829603731320832,70,71,69.0,POSITIVE,NEGATIVE,NEGATIVE
@NoelKambanda « imirimo ibiri yananiye impyisi » nti watekereza amafaranga unarwane 😂 Ni urwenya gusa gusa!,1546596850534432769,71,70,69.0,NEUTRAL,NEGATIVE,NEGATIVE
@YourTrashPoet @Anthony_ehl3rs Reba igihe umu petit wawe aba abiboneye,1379873214684352514,71,69,70.0,NEUTRAL,NEUTRAL,NEUTRAL
