text,text_id,annotator_1,annotator_2,annotator_3,label_1,label_2,label_3
suro nipah na gyae saman,f3c59092-0d55-4325-8670-31fae9923e68,45,44,63.0,inderminate,neutral,neutral
na sɛ wodeɛ gɔbɛ na ɛyɛ wo ly oo 😂,383379c6-ec63-46cb-af83-a6f4961a5a75,63,44,45.0,inderminate,neutral,positive
ahhh meyɛ agye adi sɛ ɔyɛ jon,a353eaf4-d294-4bbc-961f-cfc1f6e6f4fe,44,45,63.0,negative,negative,negative
by wednesday de3 na peter atwa obi aso👂 thursday nso na judas agye sika 💰 week wei b3y3 🅱lood 🔴 🙆🙆🙆,71824f12-8e7a-4565-b3bb-0acfe90e6be0,45,63,44.0,inderminate,inderminate,neutral
yɛ gyina mu pinsoo,d1295535-12ab-4939-9172-ad1efb920ebe,63,44,45.0,inderminate,neutral,positive
aden waya sika bi anaa,9059d285-1873-4f86-b570-d6c9dcc0a235,44,63,45.0,neutral,positive,positive
69 fuor ab ano kyenku,b94f3c1b-f82d-4e98-8367-a1540e903a7c,44,45,63.0,neutral,positive,negative
wo y3 kwasia wati,23eabb56-2a34-4fbd-b595-9dcbd767ac47,45,44,63.0,negative,negative,negative
me sika asa and its 15th 😩😩😩😩,35ab8689-3969-47ef-83fe-6d02795ec3d4,45,44,63.0,inderminate,neutral,positive
eeii wo bɛwe no anaa,c75192c8-3ca9-42e7-a8db-d5ad69bf4887,45,44,63.0,positive,negative,negative
ah ah ah woaa see atm too score mtchewww,8b6525a9-eff7-41a8-8ac0-ec6de2e05bd4,63,45,44.0,inderminate,positive,negative
matiti sardine nti b3 tafri mensa,0e2360a9-536e-4c69-b5dd-2c8bfdf48871,44,45,63.0,neutral,positive,negative
nti sweeti sweetie na m3 sweetie,c3fb75b3-1e31-4613-a17a-23cbea2273a8,44,63,45.0,neutral,positive,positive
no be me o ebe 😂😂,3bf66310-d891-4ecb-8933-23642b1a6113,45,44,63.0,inderminate,positive,positive
as3m bɔ ne pɔ,b7d2c46f-35c0-4ff2-b70c-466794eaa4c4,44,63,45.0,neutral,positive,negative
herr ma wani nda h oo😂,83de2968-3178-4e33-b764-12e470b802b1,63,44,45.0,inderminate,neutral,positive
hahahaaa saa ara na wiase te3,d5df9e32-09a2-4242-a3bc-6d356336475b,63,44,45.0,positive,positive,positive
real madrid ne gyimie,57c2c3fc-f3af-4e39-b036-ef6e04521a32,45,44,63.0,negative,negative,negative
hmm chairman ena woo ka no sei we we no get di3rrr one two na dem dey take wana babes saaa,cb24c8e0-a39d-4c16-acf3-b1e2fa921e2f,63,45,44.0,inderminate,inderminate,negative
wo pɛ chacha oo,352a8552-e950-4827-aa3a-6a5d28dd0436,44,63,45.0,negative,negative,negative
masw sharp koraa wose hotel booked anaa,3ba70d6f-5142-4317-a9f8-41142df7d44c,63,44,45.0,inderminate,neutral,positive
eeii hwan ba nie🤔🤔 ɛna ɔka nsɛm hunu sei,cbd036ea-51fc-41e2-af01-c8904d1c8c8c,63,44,45.0,negative,negative,negative
wo ne coach no nyinaaa mo maame tw3 na no,bacd843e-c447-46f3-83d9-3873aff9be42,44,63,45.0,negative,negative,negative
hi how are you hahahaha obiaa b3bisa bi,9da3810e-8d3e-46bb-8245-a0acd068d421,63,45,44.0,inderminate,inderminate,neutral
wedding nkoaa 1 billion aden y3n ndidi biom anaa,5a2cb168-85c6-4867-92c6-affb5735f530,44,45,63.0,neutral,positive,negative
eii na wob3 ka,ab4fbf65-34da-4862-9c5f-ccea2b1d9b8b,63,44,45.0,inderminate,neutral,positive
so so kwasiasem nkoa,ca042268-f584-4077-af80-2e076e3375e9,63,45,44.0,negative,negative,negative
sika kakraa agro kakraa sika fr3 supporters,fb8c098c-35cc-4967-a569-d63c5ed3d0e0,45,44,63.0,inderminate,positive,positive
akoa ho ny3 akono,248dd622-baff-4959-abdd-8381fc086282,63,44,45.0,negative,negative,negative
asem no ayɛ kɛse ama malam😃😃😃,54ab7124-b708-49f9-b9d6-ac0e25e67056,44,63,45.0,neutral,negative,negative
lol wo na woblɛ,6d870a0d-997c-411c-adc9-7724d29c70dc,44,45,63.0,neutral,negative,negative
drip nsɛm nu dɔɔso 😂,724ceac0-06c5-4e4f-9762-3c255aa23a7f,45,63,44.0,inderminate,inderminate,positive
pepe kraa de3 ne ho y3 mahi,a14e0619-a5f8-4a1d-a41d-ac6629f3bda0,44,45,63.0,negative,negative,negative
navrongo foɔ da wo ase 🤣,fad95ef1-82b4-4d5b-ab86-ffa016604710,44,45,63.0,positive,positive,negative
yɛn tua errh yɛ de ayɛ campaign ahye yɛ sɛa wo se refund,94d3beb4-fc81-4cf9-8de6-bba2c39e9ba3,63,45,44.0,inderminate,inderminate,negative
asɛm no ano ayɛ den 😀😀 osofo adwa,052ec88a-eb76-4414-8490-2e9ff6430fb4,63,45,44.0,inderminate,positive,negative
mehnnn 💥💥💥💥💥💥 goose on me masterpiece charley cigarette si ma nu,fb353d45-9f8f-4d7e-a2b1-2ab0d71be495,44,63,45.0,inderminate,inderminate,positive
me ankasa i no fi heal,57d238ac-a56a-492a-a22b-200c72af5bc5,63,45,44.0,inderminate,inderminate,negative
amen me hemaaaaaaaaa baaakope 😃😃,b4c1072f-5ac3-444f-b491-5d06fe705d3c,44,45,63.0,positive,positive,negative
pɛ abena bi di,485ff06e-ee50-44b6-80b4-338575f0336d,45,44,63.0,inderminate,negative,negative
wo ka nsemhunu ntia,b1b330d6-82bd-4741-8ae0-01c143cbdf5c,44,63,45.0,negative,negative,negative
y3te sika so nso 3km de y3n,acaae629-9bba-48cb-8221-d2784759ff7d,44,45,63.0,neutral,negative,negative
ohhhh gyai na pressure nu su 😂,9c9a6b88-97bb-45a3-adf7-be1196a36e6e,44,45,63.0,neutral,positive,positive
ɔnyame bɛ tua mo ka wo ne wesley mathews no,7979e1bf-2e5b-461f-9f7d-a908a025e30f,45,44,63.0,negative,negative,negative
asɛm no ayɛ kɛse,45b1f088-4a83-427e-b2d7-1e0d76201522,63,45,44.0,inderminate,negative,negative
ghanafoc binom ne gyimii de3 which country kraa be this,1f920035-0868-4c37-9e0e-27a47185dd6b,44,45,63.0,negative,negative,negative
ei ruth ne brofo dier,d6a5394f-2088-4395-9732-dce35508b637,63,44,45.0,positive,positive,negative
kwabena appiah ne kwabena gyamfi,c34a25fc-ddb6-441f-9676-a03e4763df09,63,45,44.0,inderminate,inderminate,neutral
nti brfo na mo ka no saa no ei,a4abf454-e34a-4a26-9756-e6a6a030ca35,44,45,63.0,neutral,positive,negative
∆™✓masa in fact s3wop3 obi nas3 nipa nu nso mp3woa kay it pains paaaa oo heeeerrrrrr braaaa😱😱😱😱😱gtgtgtgtgtgt,3307869f-bbe0-474a-a82e-4e63343e157d,45,63,44.0,inderminate,inderminate,negative
😂 😂 😂 😂 😂 😂 😂 😂 aaajeei awurade me y3m,c36d560e-51fb-4bf6-82d6-48c1abaa16aa,45,44,63.0,inderminate,positive,positive
me twa bet nanka liverpool asɛi nokwasia team sei,ca443a7b-4dba-4a33-8d18-a2649565757b,45,44,63.0,negative,negative,negative
fiafitɔwo sɔgbɔ de dukɔame,167eb508-779e-456c-b8db-02fdad7aba59,63,45,44.0,inderminate,inderminate,neutral
wo tu mmire aa na wakyerɛ sie 6m please show me,54adf3bb-7fe2-4a59-916c-e5dbb5e59550,63,44,45.0,inderminate,neutral,positive
yese adanse fumso dwa no agyigya sika nni kurom a nkurasefuo de beto fose,331e34a6-90a7-4ba8-a28f-2d4bb602b913,44,63,45.0,neutral,positive,negative
herhhh nanka me wo sika paaahmm,0081324b-d368-48dc-8ff3-61c099959ec8,63,44,45.0,inderminate,neutral,positive
ansu no nkoaa ma ye hunu bibiaa wo from mpo,f6e97fc5-6558-414b-9a87-b8eb252dde78,45,63,44.0,inderminate,inderminate,neutral
yɛ wo yɛn ato baabi foo papa 😭😭😭😭😭😭😭😭,6a5071c5-8b33-499f-83b3-35c5ab2afa69,45,63,44.0,inderminate,negative,negative
na wo se bibinii bɛyɛɛ dɛn wɔ wiase 😂,79db90a0-bfd6-468d-bea1-7f35d048ebbb,63,44,45.0,negative,negative,negative
jesus😱 sika na shi😥 maa comfort b3 ti afri ne monthly pay mu 🥺,730641c6-0eb2-4185-831f-72073b33a7d4,44,45,63.0,neutral,negative,negative
dinho ball no deɛ ei,e81b34b5-4e78-44a4-8df5-d8d2e0f6cd85,63,44,45.0,inderminate,neutral,positive
beebi yɛ dɛw mpo onnto 25th na new year wo taadi,498bd60c-8f65-46a5-b145-555593d818a1,44,63,45.0,positive,positive,positive
saa father christmas ejuma nu me gyae,3a50ae25-77dc-4ce1-8d18-c51ee8977318,45,44,63.0,inderminate,positive,negative
pork nu y3 kama buh nka 3w s3 wode beer ka ho,c98b821f-b40e-4e17-bf41-e9e7c98b5ab6,63,44,45.0,inderminate,neutral,positive
yeni mmaa no hyiaa y3 treati omo nice firis3 omo y3 aboden order omo champagne ne juice energy drink de ma omo pa omo ahoden,c5d371e7-e79b-40a6-9007-20de5954fb05,63,45,44.0,inderminate,inderminate,positive
eiii br3 da nie 😂😂,0c491e0b-c0b3-4159-81e1-83d0194aa427,63,44,45.0,inderminate,neutral,positive
daakye bi ɛbɛfa ama wo🙏🏻,b5eb6fc0-24a1-47eb-a56d-e22c315fc6c2,63,44,45.0,positive,positive,positive
me and anaa menk heblews,e19460ec-18ee-4b65-b997-9635b0f4efe9,63,45,44.0,inderminate,inderminate,neutral
nana i beg b me busia eh na ma y3 shi,dc7fde4b-8309-49f3-be79-c36dc08f73ec,45,63,44.0,inderminate,negative,negative
fa wo kaf3f3 gyina nky3n,01652d95-04d1-4051-a62a-c3b0664d3d48,45,44,63.0,negative,negative,negative
na de3n kraaa as3m ni,feb75f15-4613-4f57-89e7-df00fe95bf03,63,45,44.0,inderminate,positive,negative
oh nana y3 fr3 me s3n,31674e88-4f98-4dac-812c-ae70283ce54f,45,63,44.0,inderminate,inderminate,neutral
wo party no mo nni vision nti wo nti asiɛ,ad758d50-02d5-4686-80f4-854b5a6ab057,45,44,63.0,positive,negative,negative
2021 boys ntomi pressure but competition too kill sensor 🌚 sika anibre nti boys nebi ni atinka😌,b518d343-77c4-43e5-917b-1bb38bb157c2,45,44,63.0,inderminate,negative,negative
eiii kwame instant noodles gyae saa😂😂😂,0b9fb6f5-a154-46ea-a2e3-4570307ad2e0,44,45,63.0,neutral,positive,negative
