ID	tweet	label
ig_train_00001	Nna Ike Gwuru ooo. 😂 https://t.co/NDS7juFBGd	negative
ig_train_00002	@user Chineke nna kezi mgbe ole???	negative
ig_train_00003	Lol. Isi adirokwanu gi nma.. 😐😒😒😒 https://t.co/5gzmgYk6RW	negative
ig_train_00004	@user haha. Fulani herdsmen. akpa amu gi retweet. Rie nsi 😝	negative
ig_train_00005	Nna ghetto di gi na aru biko!!! https://t.co/4G9bzI4uKG	negative
ig_train_00006	@user Ezigbo onye iberibe	negative
ig_train_00007	Thief!!!!! Ole!!! Barawo!!! Onye oshi!!!! https://t.co/PzG1OhDP5v	negative
ig_train_00008	Chukwu nna! Afam ị gaghị egbu mmadụ na app a. https://t.co/sjaIvDTWYp	negative
ig_train_00009	@user Or ma agbalie gi elu🙄	negative
ig_train_00010	@user O dikwa egwu😂😂😂😂	negative
ig_train_00011	@user Lmao Awka na ebi ajo ndu	negative
ig_train_00012	@user Nna ehh, ụfọdụ ụmụ nwoke dara iberibe 🤦🏽‍♂️	negative
ig_train_00013	@user Rapụ ndị nzuzu	negative
ig_train_00014	Taa!! Nnaa, gaa zuru ike. https://t.co/izWxsFTOc0	negative
ig_train_00015	Nobody ugly oooo Obu ego na akpari mmadu https://t.co/GdSQUyJZkF	negative
ig_train_00016	@user @user @user @user @user @user @user @user @user @user @user Rijuo nsi onu dia... Nkea abuluzia gini.. Alako kwana muna chairmo ooh before kitikpa agbasa gi isi	negative
ig_train_00017	Negodu mama mmadu 🤦‍♂️ https://t.co/gl9WFQQclZ	negative
ig_train_00018	@user @user @user Nsogbu dị kwa.... Ife corona na cause... 😩😩	negative
ig_train_00019	@user Zuzuru Getaway from here... Onye nkogheri...	negative
ig_train_00020	@user @user 🤣 🤣 🤣.. Agwọ Sia onye ala, ọ gaghị ahapụ ntamu..	negative
ig_train_00021	@user @user Thunder fire onu gi ji ekwu ụdịrị ihe a	negative
ig_train_00022	@user @user 😂😂😂😂😂😂 I di sure na the okiri agbawabero ya isi	negative
ig_train_00023	I bu onye nzuzu! 🤦🏾‍♀️ https://t.co/tuihPOz2Ae	negative
ig_train_00024	@user O siri nke ozo na beer adiro ya mma na aru	negative
ig_train_00025	@user @user 😂 😂 ya ehh, m nweta gị...	negative
ig_train_00026	@user Maka Chi. Na ochichi Buhari a? Ka mmadụ na-eje eyi udi akwa ahụ 😂🤣	negative
ig_train_00027	I na atupuru ndi nzuzu onu https://t.co/CsYL26qUIB	negative
ig_train_00028	@user @user Nzuzu ya di few mush!	negative
ig_train_00029	@user aunty mi, e ne we iwe oku oh	negative
ig_train_00030	@user @user Ị na ańaa ifeanyi ọnụ ọjọọ nti	negative
ig_train_00031	@user @user biko dutelu anyi mmadu from mgbago inu😂	negative
ig_train_00032	@user Haha. Ele gini? Nwanyi, Kedu ubosi e subakwa imo? 😒	negative
ig_train_00033	@user Ike guru m o	negative
ig_train_00034	@user @user Nsogbu digodi next season for Arsenal😂	negative
ig_train_00035	@user Guy idikwanu ajoo Wicked😆😆😆😆 Afa ehhhhh.... Egwu dikwa	negative
ig_train_00036	@user Ọ bụghị asị... Mana ole n'ime ha ka isi dị mma??	negative
ig_train_00037	Ezigbo Nonsense lmao https://t.co/rxHBrc4jtJ	negative
ig_train_00038	@user Mechie onu osiso. Iti boli bor	negative
ig_train_00039	Kilikpa lacha gi anya ebe-ahu idiot	negative
ig_train_00040	@user @user @user @user Oge ahu gbuo gi dia.. Esi beegi eje bee onye kwanu..	negative
ig_train_00041	Chineke nna ekwekwala ihe ọjọọ https://t.co/hEGxXeXEnC	negative
ig_train_00042	@user @user As in ehn. Ndi mmadu enwero zi Obi ebele. 😂	negative
ig_train_00043	Luiz efulefu mmadu	negative
ig_train_00044	Ndị ala ndi ala Lele lekwa ha https://t.co/ChVN2EX35Q	negative
ig_train_00045	@user O di na iwu mana aga azota ana wee zoba ute, Onowu. Kee mgbe ana akpo anyi oku?	negative
ig_train_00046	@user Don't oo Maka ndu gi😂😂😂😂😂😂	negative
ig_train_00047	@user Ndi mbaise na enyekari nsogbu 😂	negative
ig_train_00048	@user @user 😂😂😂 Osi no privacy. This my Awka-Etiti sister ina enye Nsogbu ooo 😫😫	negative
ig_train_00049	E be Mbaise road di otuh, kedu ka Umuahia GA di🤔 👀👀 https://t.co/moNw0lmHd2	negative
ig_train_00050	@user @user @user Ibu ezigbo okpo 3buka 🤣	negative
ig_train_00051	@user Ibu onye ara, anuofia, allika, nkiita ara, eezi, aakuodu	negative
ig_train_00052	@user Ike gwuru ndi ochichi anyi	negative
ig_train_00053	@user @user Thunder nke sị na Abaa okwia😛😛😛	negative
ig_train_00054	@user Ezigbo Prof ndi ala, lol IK ... ☹️	negative
ig_train_00055	@user Chucks de chef. Afọ asakwana nwoke mmadu🤣🤣🤣	negative
ig_train_00056	You see umuada? Ndi a bu ndi akpo oh! 😭 https://t.co/brk1e5qBSP	negative
