words,sentiment
ameeeen,POSITIVE
tsareki,POSITIVE
fatan,POSITIVE
kyau,POSITIVE
gaisheka,POSITIVE
yatemaka,POSITIVE
kawo,POSITIVE
dadi,POSITIVE
yayi,POSITIVE
godiya,POSITIVE
in sha allah,POSITIVE
nisan kwana,POSITIVE
babban,POSITIVE
yaci,POSITIVE
kirki,POSITIVE
lfy,POSITIVE
amfana,POSITIVE
albarka,POSITIVE
barka,POSITIVE
sallama,POSITIVE
fatan alheri,POSITIVE
aure,POSITIVE
sonki,POSITIVE
yakiyaye,POSITIVE
yawwa,POSITIVE
kirkin,POSITIVE
kwarin gwiwar,POSITIVE
farfado,POSITIVE
ganaar,POSITIVE
nakesan,POSITIVE
dai dai,POSITIVE
alkairi,POSITIVE
alhamdullilah,POSITIVE
dadinsu,POSITIVE
gasky,POSITIVE
farinciki,POSITIVE
fatan alkairi,POSITIVE
dafa,POSITIVE
dadin gaske,POSITIVE
godia,POSITIVE
alfahari,POSITIVE
daidai,POSITIVE
yabamu,POSITIVE
jikansa,POSITIVE
lafy,POSITIVE
insha allah,POSITIVE
burgeni,POSITIVE
alkhairi,POSITIVE
masha allah,POSITIVE
hakuri,POSITIVE
zaman lafiya,POSITIVE
qara,POSITIVE
kyauta,POSITIVE
dadin,POSITIVE
nisan kwanah,POSITIVE
alhamdulillah,POSITIVE
yakyauta,POSITIVE
nishadi,POSITIVE
sabuwar,POSITIVE
dagaske,POSITIVE
yataimaka,POSITIVE
fara,POSITIVE
adalci,POSITIVE
uban marayu,POSITIVE
sutura,POSITIVE
gaskene,POSITIVE
albarkaci,POSITIVE
cigaba,POSITIVE
zataci,POSITIVE
kinason,POSITIVE
soyayya,POSITIVE
tagado,POSITIVE
ci gaba,POSITIVE
farincikin,POSITIVE
lpy,POSITIVE
wadata,POSITIVE
arziki,POSITIVE
asaa,POSITIVE
jagora,POSITIVE
barkada,POSITIVE
murna,POSITIVE
fahimceki,POSITIVE
in sha allahu,POSITIVE
cikakkun,POSITIVE
nasara,POSITIVE
jajircewarki,POSITIVE
chigaba,POSITIVE
farin ciki,POSITIVE
saa,POSITIVE
bani,POSITIVE
dace,POSITIVE
taimaka,POSITIVE
girma,POSITIVE
dadina,POSITIVE
sannu,POSITIVE
gimbiya,POSITIVE
kyau️,POSITIVE
karawa,POSITIVE
nisan kwanaya,POSITIVE
akeson,POSITIVE
tunawa,POSITIVE
muhimmanci,POSITIVE
fahimci,POSITIVE
gayyaci,POSITIVE
son,POSITIVE
kasuwa,POSITIVE
kyawawane,POSITIVE
nishadantar,POSITIVE
aurena,POSITIVE
hankali,POSITIVE
shiryamu,POSITIVE
shiryasu,POSITIVE
yakare,POSITIVE
kwarai,POSITIVE
fatarmu,POSITIVE
basira,POSITIVE
fahimta,POSITIVE
dora,POSITIVE
ranka shidade,POSITIVE
kammala,POSITIVE
tausayi,POSITIVE
gyaranta,POSITIVE
haihuwa,POSITIVE
nayarda,POSITIVE
ganewa,POSITIVE
dama,POSITIVE
dariyar,POSITIVE
záɓeka,POSITIVE
daukaka,POSITIVE
kewarki,POSITIVE
dai dai ne,POSITIVE
zaba,POSITIVE
nagari,POSITIVE
lfya,POSITIVE
gudunmawa,POSITIVE
kokarima,POSITIVE
tsari,POSITIVE
taimaki,POSITIVE
bin doka,POSITIVE
farin jinin,POSITIVE
rabawa,POSITIVE
gyara,POSITIVE
kaunar,POSITIVE
rungumeshi,POSITIVE
kokarin sa,POSITIVE
tafawa,POSITIVE
masoyiyarki,POSITIVE
gskya,POSITIVE
kinsamu,POSITIVE
juriya,POSITIVE
amincewarka,POSITIVE
yaduwa,POSITIVE
kokari,POSITIVE
sauwaqe,POSITIVE
masoyanki,POSITIVE
adace,POSITIVE
jindadi,POSITIVE
lada,POSITIVE
yabiya,POSITIVE
kafi,POSITIVE
yadubeni,POSITIVE
yaturomin,POSITIVE
gaisheki,POSITIVE
kaunarki,POSITIVE
sanki,POSITIVE
yakawomana,POSITIVE
soshi,POSITIVE
yasaka,POSITIVE
birgewa,POSITIVE
dauka ka,POSITIVE
mai yawa,POSITIVE
tayaka,POSITIVE
karramawa,POSITIVE
kinfi,POSITIVE
karo,POSITIVE
kareki,POSITIVE
shawara,POSITIVE
albarkashi,POSITIVE
taimakawa,POSITIVE
yakaro,POSITIVE
sonsa,POSITIVE
qauna,POSITIVE
gafar ta,POSITIVE
jikanshi,POSITIVE
alkawarin,POSITIVE
kwarjini,POSITIVE
kafisu,POSITIVE
bakuncinsa,POSITIVE
yaqara,POSITIVE
tausayawa,POSITIVE
musha biki,POSITIVE
agaza,POSITIVE
na gari,POSITIVE
birgeni,POSITIVE
daɗi,POSITIVE
zaman lafia,POSITIVE
iliminki,POSITIVE
gara,POSITIVE
ilimi,POSITIVE
marawa,POSITIVE
budi,POSITIVE
dokokin,POSITIVE
ya jikansu,POSITIVE
murmushi,POSITIVE
dariyarki,POSITIVE
murmushinki,POSITIVE
qoqari,POSITIVE
zaman lpy,POSITIVE
rai,POSITIVE
ilimin,POSITIVE
gudanarda,POSITIVE
kaci,POSITIVE
amana,POSITIVE
habbaka,POSITIVE
ya jikanta,POSITIVE
rahama,POSITIVE
rabin raina,POSITIVE
yataimaki,POSITIVE
aureta,POSITIVE
cika,POSITIVE
masoyiyata,POSITIVE
karbuwa,POSITIVE
zarce,POSITIVE
wayonki,POSITIVE
addua,POSITIVE
amanar,POSITIVE
nasarar,POSITIVE
farin cikin,POSITIVE
hamdala,POSITIVE
daraja,POSITIVE
tabbatar,POSITIVE
tabbata,POSITIVE
inaso,POSITIVE
fadawanki,POSITIVE
kaso,POSITIVE
gaskiyane,POSITIVE
daukakaku,POSITIVE
magani,POSITIVE
alkairii,POSITIVE
tuba,POSITIVE
tabarakallah,POSITIVE
mafi alkhairi,POSITIVE
insha allahu,POSITIVE
shagalinku,POSITIVE
bakarya,POSITIVE
shahara,POSITIVE
cigari,POSITIVE
yafiyan,POSITIVE
rungumi,POSITIVE
masoya,POSITIVE
tsaro,POSITIVE
auri,POSITIVE
tabatar,POSITIVE
alkawari,POSITIVE
qoqarinda,POSITIVE
saukin,POSITIVE
karu,POSITIVE
burge,POSITIVE
kwalliya,POSITIVE
kin hadu,POSITIVE
dama dama,POSITIVE
alhairi,POSITIVE
kauna,POSITIVE
sakawa,POSITIVE
hutu,POSITIVE
alkhr,POSITIVE
sabuwa,POSITIVE
taaziyyar,POSITIVE
bayanka,POSITIVE
shiryi,POSITIVE
sauwake,POSITIVE
adalchi,POSITIVE
inganta,POSITIVE
hadin gwiwar,POSITIVE
zaqi,POSITIVE
goyawa baya,POSITIVE
